id,uri,lemma,pos,morpho,principal_parts,irregular_forms,alternative_forms,pronunciation,prosody,validated
205019,,अ,n,n-----m--a,,,,//,अ,0
205020,21893,अबद्ध,a,ap----a--a,,,,/ə.ˈbəd̪.d̪ʰə/,अ॔-बद्ध,0
205021,21897,अबद्धक,a,ap----a--a,,,,/ə.ˈbəd̪.d̪ʰə.kə/,अ-बद्धक,0
205022,21894,अबद्धमुख,a,ap----a--a,,,,/ə.ˈbəd̪.d̪ʰə.mu.kʰə/,अ॔-बद्ध-मुख,0
205023,21895,अबद्धमूल,a,ap----a--a,,,,/ə.ˈbəd̪.d̪ʰə.muː.lə/,अ॔-बद्ध-मूल,0
205024,21896,अबद्धवत्,a,ap----a--c,,,,/ə.ˈbəd̪.d̪ʰə.ʋət̪/,अ॔-बद्ध-वत्,0
205025,21898,अबधिर,a,ap----a--a,,,,/ə.bə.d̪ʰi.ɹə/,अ॔-बधिर,0
205026,21899,अबध्य,a,ap----a--a,,,,/ə.ˈbəd̪ʰ.jə/,अ-बध्य,0
205027,21905,अबधा,n,n-----f--ā,,,,/ə.bə.d̪ʰɑː/,अबधा,0
205028,21920,अबहिर्,r,rp--------,,,,/ə.bə.ɦiɹ/,अ-बहिर्,0
205029,21921,अबहिर्धा,r,rp--------,,,,/ə.bə.ˈɦiɹ.d̪ʰɑː/,अ-बहिर्-धा,0
205030,21922,अबहिर्वासस्,a,ap----a-sa,,,,/ə.bə.ˈɦiɹ.ʋɑː.səs/,अ-बहिर्-वासस्,0
205031,21923,अबहु,a,ap----a--u,,,,/ə.bə.ɦu/,अ-बहु,0
205032,21925,अबह्वच्,a,ap----a--c,,,,/ə.ˈbəɦ.ʋət͡ɕ/,अबह्व्-अच्,0
205033,21924,अबह्वक्षर,a,ap----a--a,,,,/ə.ˈbəɦ.ˈʋək.ʂə.ɹə/,अबह्व्-अक्षर,0
205034,21911,अबल,a,ap----a--a,,ap----f--ā=>ा,,/ə.bə.lə/,अ-बल॔,0
205035,21913,अबल,n,n-----n--a,,,,/ə.bə.lə/,अ-बल॔,0
205036,21914,अबल,n,n-----m--a,,,,/ə.bə.lə/,अ-बल॔,0
205037,21914,अबल,n,n-----m--a,,,,/ə.bə.lə/,अ-बल,0
205039,,अबलधन्वन्,a,ap----a--n,,,,/ə.bə.lə.d̪ʰən.ʋən/,अ-बल॔-धन्वन्,0
205040,21916,अबलवत्,a,ap----a--c,,,,/ə.bə.lə.ʋət̪/,अ-बल॔-वत्,0
205041,214858,अबलिमन्,n,n-----m--n,,,,/ə.bə.li.mən/,अ-ब-लिमन्,0
