136797,मीमांसामकरन्द,n,n-----m--a,,,,/miː.mɑː̃.sɑː.mə.kə.ɹən.d̪ə/,मीमांसा॔-मकरन्द,0
302231,136795,मीमांसानयविवेक,n,n-----m--a,,,,/miː.mɑː̃.sɑː.nə.jə.ʋi.ʋeː.kə/,मीमांसा॔-नय-विवेक,0
302232,,मीमांसानयविवेकगतार्थमालिका,n,n-----f--ā,,,,/miː.mɑː̃.sɑː.nə.jə.ʋi.ʋeː.kə.gə.t̪ɑːɹ.t̪ʰə.mɑː.li.kɑː/,मीमांसा॔-नय-विवेक-गतार्थ-मालिका,0
302233,,मीमांसानयविवेकशङ्कादीपिका,n,n-----f--ā,,,,/miː.mɑː̃.sɑː.nə.jə.ʋi.ʋeː.kə.ɕəŋ.kɑː.d̪iː.pi.kɑː/,मीमांसा॔-नय-विवेक-शङ्का-दीपिका,0
302234,,मीमांसानयविवेकालंकार,n,n-----m--a,,,,/miː.mɑː̃.sɑː.nə.jə.ʋi.ʋeː.kɑː.ləŋ.kɑː.ɹə/,मीमांसा॔-नय-विवेकालंकार,0
302235,,मीमांसान्याय,n,n-----m--a,,,,/miː.mɑː̃.sɑːn.jɑː.jə/,मीमांसा॔-न्याय,0
302236,,मीमांसान्यायपरिमलोल्लास,n,n-----m--a,,,,/miː.mɑː̃.sɑːn.jɑː.jə.pə.ɹi.mə.loːl.lɑː.sə/,मीमांसा॔-न्याय-परिमलोल्लास,0
302237,,मीमांसान्यायप्रकाश,n,n-----m--a,,,,/miː.mɑː̃.sɑːn.jɑː.ˈjəp.ɹə.kɑː.ɕə/,मीमांसा॔-न्याय-प्रकाश,0
302238,,मीमांसान्यायरत्नाकर,n,n-----m--a,,,,/miː.mɑː̃.sɑːn.jɑː.jə.ˈɹət̪.nɑː.kə.ɹə/,मीमांसा॔-न्याय-रत्नाकर,0
302239,136796,मीमांसापदार्थनिर्णय,n,n-----m--a,,,,/miː.mɑː̃.sɑː.pə.d̪ɑːɹ.t̪ʰə.ˈniɹ.ɳə.jə/,मीमांसा॔-पदार्थ-निर्णय,0
302240,,मीमांसापल्वल,n,n-----n--a,,,,/miː.mɑː̃.sɑː.ˈpəl.ʋə.lə/,मीमांसा॔-पल्वल,0
302241,,मीमांसापरिभाषा,n,n-----f--ā,,,,/miː.mɑː̃.sɑː.pə.ɹi.bʱɑː.ʂɑː/,मीमांसा॔-परिभाषा,0
302242,,मीमांसाप्रक्रिया,n,n-----f--ā,,,,/miː.mɑː̃.sɑːp.ˈɹək.ɹi.jɑː/,मीमांसा॔-प्रक्रिया,0
302243,,मीमांसापादुका,n,n-----f--ā,,,,/miː.mɑː̃.sɑː.pɑː.d̪u.kɑː/,मीमांसा॔-पादुका,0
302244,,मीमांसारसपल्वल,n,n-----n--a,,,,/miː.mɑː̃.sɑː.ɹə.sə.ˈpəl.ʋə.lə/,मीमांसा॔-रस-पल्वल,0
302245,,मीमांसार्थ,n,n-----m--a,,,,/miː.mɑː̃.sɑːɹ.t̪ʰə/,मीमांसा॔र्थ,0
302246,,मीमांसार्थदीप,n,n-----m--a,,,,/miː.mɑː̃.sɑːɹ.t̪ʰə.d̪iː.pə/,मीमांसा॔-र्थ-दीप,0
302247,,मीमांसार्थसंग्रह,n,n-----m--a,,,,/miː.mɑː̃.sɑːɹ.t̪ʰə.səŋ.gɹə.ɦə/,मीमांसा॔-र्थ-संग्रह,0
302248,133313,मीमांसासर्वस्व,n,n-----n--a,,,,/miː.mɑː̃.sɑː.ˈsəɹ.ˈʋəs.ʋə/,मीमांसा॔-सर्वस्व,0
302249,133312,मीमांसासंग्रह,n,n-----m--a,,,,/miː.mɑː̃.sɑː.səŋ.gɹə.ɦə/,मीमांसा॔-संग्रह,0
302250,133311,मीमांसासंकल्पकौमुदी,n,n-----f--ī,,,,/miː.mɑː̃.sɑː.səŋ.ˈkəl.pə.ˈkəौ.mu.d̪iː/,मीमांसा॔-संकल्प-कौमुदी,0
302251,133314,मीमांसासिद्धान्तार्या,n,n-----f--ā,,,,/miː.mɑː̃.sɑː.ˈsid̪.d̪ʰɑːn.t̪ɑːɹ.jɑː/,मीमांसा॔-सिद्धान्तार्या,0
302252,133315,मीमांसास्तबक,n,n-----m--a,,,,/miː.mɑː̃.sɑːs.t̪ə.bə.kə/,मीमांसा॔-स्तबक,0
302253,136801,मीमांसासार,n,n-----m--a,,,,/miː.mɑː̃.sɑː.sɑː.ɹə/,मीमांसा॔-सार,0
302254,,मीमांसासारसंग्रह,n,n-----m--a,,,,/miː.mɑː̃.sɑː.sɑː.ɹə.səŋ.gɹə.ɦə/,मीमांसा॔-सार-संग्रह,0
302255,136802,मीमांसासूत्र,n,n-----n--a,,,,/miː.mɑː̃.sɑː.suːt̪.ɹə/,मीमांसा॔-सूत्र,0
302256,,मीमांसासूत्रदीधिति,n,n-----f--i,,,,/miː.mɑː̃.sɑː.suːt̪.ɹə.d̪iː.d̪ʰi.t̪i/,मीमांसा-सूत्र-दीधिति,0
302257,,मीमांसासूत्ररहस्य,n,n-----n--a,,,,/miː.mɑː̃.sɑː.suːt̪.ɹə.ɹə.ˈɦəs.jə/,मीमांसा-सूत्र-रहस्य,0
302258,133305,मीमांसातन्त्रवार्त्तिक,n,n-----n--a,,,,/miː.mɑː̃.sɑː.t̪ən.t̪ɹə.ʋɑːɹt̪.t̪i.kə/,मीमांसा॔-तन्त्र-वार्त्तिक,0
302259,,मीमांसातत्त्वचन्द्रिका,n,n-----f--ā,,,,/miː.mɑː̃.sɑː.ˈt̪ət̪.t̪ʋə.t͡ɕən.d̪ɹi.kɑː/,मीमांसा॔-तत्त्व-चन्द्रिका,0
302260,136799,मीमांसाविधिभूषण,n,n-----n--a,,,,/miː.mɑː̃.sɑː.ʋi.d̪ʰi.bʱuː.ʂə.ɳə/,मीमांसा॔-विधि-भूषण,0
302261,,मीमांसाविवरणरत्नमाला,n,n-----f--ā,,,,/miː.mɑː̃.sɑː.ʋi.ʋə.ɹə.ɳə.ˈɹət̪.nə.mɑː.lɑː/,मीमांसा॔-विवरण-रत्न-माला,0
302262,,मीमांसाविषय,n,n-----m--a,,,,/miː.mɑː̃.sɑː.ʋi.ʂə.jə/,मीमांसा॔-विषय,0
302263,136798,मीमांसावाद,n,n-----m--a,,,,/miː.mɑː̃.sɑː.ʋɑː.d̪ə/,मीमांसा॔-वाद,0
302264,,मीमांसावादार्थ,n,n-----m--a,,,,/miː.mɑː̃.sɑː.ʋɑː.d̪ɑːɹ.t̪ʰə/,मीमांसा॔-वादार्थ,0
302265,,मीमांसावार्त्तिक,n,n-----n--a,,,,/miː.mɑː̃.sɑː.ʋɑːɹt̪.t̪i.kə/,मीमांसा॔-वार्त्तिक,0
302266,133309,मीमांसाशिरोमणि,n,n-----m--i,,,,/miː.mɑː̃.sɑː.ɕi.ɹoːmə.ɳi/,मीमांसा॔-शिरोमणि,0
302267,133310,मीमांसाश्लोकवार्त्तिक,n,n-----n--a,,,,/miːmɑː̃sɑːɕloːkəʋɑːɹt̪t̪ikə/,मीमांसा॔-श्लोक-वार्त्तिक,0
302268,,मीमांसाशास्त्र,n,n-----n--a,,,,/miː.mɑː̃.sɑː.ɕɑːs.t̪ɹə/,मीमांसा॔-शास्त्र,0
302269,,मीमांसाशास्त्रदीपिका,n,n-----f--ā,,,,/miː.mɑː̃.sɑː.ɕɑːs.t̪ɹə.d̪iː.pi.kɑː/,मीमांसा-शास्त्र-दीपिका,0
302270,,मीमांसाशास्त्रसर्वस्व,n,n-----n--a,,,,/miː.mɑː̃.sɑː.ɕɑːs.t̪ɹə.ˈsəɹ.ˈʋəs.ʋə/,मीमांसा-शास्त्र-सर्वस्व,0
302271,136779,मीन,n,n-----m--a,,,,/miː.nə/,मीन,0
302272,133287,मीनध्वज,n,n-----m--a,,,,/miː.ˈnəd̪ʰ.ʋə.d͡ʑə/,मीन-ध्वज,0
302273,,मीनधावनतोय,n,n-----n--a,,,,/miː.nə.d̪ʰɑː.ʋə.nə.t̪oː.jə/,मीन-धावन-तोय,0
302274,133285,मीनद्वय,n,n-----n--a,,,,/miː.ˈnəd̪.ʋə.jə/,मीन-द्वय,0
302275,133281,मीनगन्धा,n,n-----f--ā,,,,/miː.nə.gən.d̪ʰɑː/,मीन-गन्धा,0
302276,133283,मीनघातिन्,n,n-----m--n,,,,/miː.nə.gʰɑː.t̪in/,मीन-घातिन्,0
302277,133282,मीनगोधिका,n,n-----f--ā,,,,/miː.nə.goː.d̪ʰi.kɑː/,मीन-गोधिका,0
302278,169374,मीनकेतन,n,n-----m--a,,,,/miː.nə.keː.t̪ə.nə/,मीन-केतन,0
302279,136781,मीनकेतु,n,n-----m--u,,,,/miː.nə.keː.t̪u/,मीन-केतु,0
