95015,पितरिशूर,n,n-----m--a,,,,/pi.t̪ə.ɹi.ɕuː.ɹə/,पितरि-शूर,0
321354,95079,पिथित,a,ap----a--a,,,,/pi.t̪ʰi.t̪ə/,पिथित,0
321355,,पित्रर्जित,a,ap----a--a,,,,/ˈpit̪.ˈɹəɹ.d͡ʑi.t̪ə/,पित्र्-अर्जित,0
321356,,पित्रर्थम्,r,rp--------,,,,/ˈpit̪.ˈɹəɹ.t̪ʰəm/,पित्र्-अर्थम्,0
321363,95027,पित्र्य,a,ap----a--a,,ap----f--ā=>ा,,/ˈpit̪.ɹjə/,पि॔त्र्य,0
321364,174512,पित्र्य,n,n-----m--a,,,,/ˈpit̪.ɹjə/,पित्र्य,0
321366,95029,पित्र्य,n,n-----n--a,,,,/ˈpit̪.ɹjə/,पित्र्य,0
321367,95030,पित्र्यपित्र्यावत्,a,ap----a--c,,,,/ˈpit̪.ɹjə.ˈpit̪.ɹjɑː.ʋət̪/,पित्र्य-पित्र्या-वत्,0
321368,95031,पित्र्युपवीत,n,n-----n--a,,,,/ˈpit̪.ɹju.pə.ʋiː.t̪ə/,पित्र्युपवीत,0
321369,,पित्र्युपवीतिन्,a,ap----a--n,,,,/ˈpit̪.ɹju.pə.ʋiː.t̪in/,पित्र्युपवीतिन्,0
321370,95028,पित्र्या,n,n-----f--ā,,,,/ˈpit̪.ɹjɑː/,पित्र्या,0
321372,,पित्राद्यन्त,a,ap----a--a,,,,/ˈpit̪.ɹɑːd̪.jən.t̪ə/,पित्र्-आद्य्-अन्त,0
321373,95076,पित्सल,n,n-----n--a,,,,/ˈpit̪.sə.lə/,पित्सल,0
321374,,पित्सत्,n,n-----m--c,,,,/ˈpit̪.sət̪/,पित्सत्,0
321375,,पित्सत्,a,ap----a--c,,ap----f--ī=>न्ती,,/ˈpit̪.sət̪/,पित्सत्,0
321376,95077,पित्सु,a,ap----a--u,,,,/ˈpit̪.su/,पित्सु,0
321377,95032,पित्त,n,n-----n--a,,,,/ˈpit̪.t̪ə/,पित्त॔,0
321378,,पित्तधर,a,ap----a--a,,,,/ˈpit̪.t̪ə.d̪ʰə.ɹə/,पित्त॔-धर,0
321379,95042,पित्तद्राविन्,n,n-----m--n,,,,/ˈpit̪.ˈt̪əd̪.ɹɑː.ʋin/,पित्त॔-द्राविन्,0
321381,95036,पित्तगदिन्,a,ap----a--n,,,,/ˈpit̪.t̪ə.gə.d̪in/,पित्त॔-गदिन्,0
321382,,पित्तघ्न,n,n-----n--a,,,,/ˈpit̪.ˈt̪əgʰ.nə/,पित्त॔-घ्न,0
321383,,पित्तघ्न,a,ap----a--a,,,,/ˈpit̪.ˈt̪əgʰ.nə/,पित्त॔-घ्न,0
321384,,पित्तघ्नी,n,n-----f--ī,,,,/ˈpit̪.ˈt̪əgʰ.niː/,पित्त॔-घ्नी,0
