-f--ī,,,,/ɹiː/,री,0
344015,,री,v,v----a--9- v----a--4- v----d--4-,,,,/ɹiː/,री,0
344016,71381,रीधा,n,n-----f--ā,,,,/ɹiː.d̪ʰɑː/,रीधा,0
344017,71394,रीज्या,n,n-----f--ā,,,,/ɹiːd͡ʑ.jɑː/,रीज्या,0
344018,71397,रीर,n,n-----m--a,,,,/ɹiː.ɹə/,रीर,0
344019,71398,रीरी,n,n-----f--ī,,,,/ɹiː.ɹiː/,रीरी,0
344020,71383,रीति,n,n-----f--i,,,,/ɹiː.t̪i/,रीति॔,0
344021,71389,रीतिबद्ध,a,ap----a--a,,,,/ɹiː.t̪i.ˈbəd̪.d̪ʰə/,रीति॔-बद्ध,0
344022,71385,रीतिज,n,n-----n--a,,,,/ɹiː.t̪i.d͡ʑə/,रीति॔-ज,0
344023,71386,रीतिज्ञ,a,ap----a--a,,,,/ɹiː.ˈt̪id͡ʑ.ɲə/,रीति॔-ज्ञ,0
344024,71391,रीतिक,n,n-----n--a,,,,/ɹiː.t̪i.kə/,रीतिक,0
344025,71384,रीतिकुसुम,n,n-----n--a,,,,/ɹiː.t̪i.ku.su.mə/,रीति॔-कुसुम,0
344026,71392,रीतिका,n,n-----f--ā,,,,/ɹiː.t̪i.kɑː/,रीतिका,0
344027,71388,रीतिप्रस्थ,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=रीतिप्रस्थ",/ɹiː.ˈt̪ip.ˈɹəs.t̪ʰə/,रीति॔-प्रस्थ,0
344028,71387,रीतिपुष्प,n,n-----n--a,,,,/ɹiː.t̪i.ˈpuʂ.pə/,रीति॔-पुष्प,0
344029,71390,रीतिवृत्तिलक्षण,n,n-----n--a,,,,/ɹiː.t̪i.ˈʋɹ̩t̪.t̪i.ˈlək.ʂə.ɳə/,रीति॔-वृत्ति-लक्षण,0
344030,,रीत्यप्,a,ap----a--c,,,,/ɹiːt̪.jəp/,रीत्य्-अ॔प्,0
344031,71393,रीतीभूत,a,ap----a--a,,,,/ɹiː.t̪iː.bʱuː.t̪ə/,रीती-भूत,0
344032,,रीव्,v,v----a--1- v----d--1-,,,,/ɹiːʋ/,रीव्,0
344033,,रीढ,a,ap----a--a,,,,/ɹiː.ɖʰə/,रीढ,0
344034,71396,रीढक,n,n-----m--a,,,,/ɹiː.ɖʰə.kə/,रीढक,0
344035,71382,रीण,a,ap----a--a,,,,/ɹiː.ɳə/,रीण,0
344036,71395,रीठा,n,n-----f--ā,,,,/ɹiː.ʈʰɑː/,रीठा,0
344037,166297,रीठाकरञ्ज,n,n-----m--a,,,,/ɹiː.ʈʰɑː.kə.ɹəɲ.d͡ʑə/,रीठा-करञ्ज,0
344038,71928,रूखर,n,n-----m--a,,,,/ɹuː.kʰə.ɹə/,रूखर,0
344039,,रूक्ष्,v,v----a--0-,,,,/ɹuːkʂ/,रूक्ष्,0
344044,71896,रूक्ष,a,ap----a--a,,ap----f--ā=>ा,,/ɹuːk.ʂə/,रूक्ष॔,0
344045,71927,रूक्ष,n,n-----m--a,,,,/ɹuːk.ʂə/,रूक्ष॔,0
344046,71927,रूक्ष,n,n-----m--a,,,,/ɹuːk.ʂə/,रूक्ष,0
344047,71910,रूक्षभाव,n,n-----m--a,,,,/ɹuːk.ʂə.bʱɑː.ʋə/,रूक्ष॔-भाव,0
344048,71904,रूक्षदर्भ,n,n-----m--a,,,,/ɹuːk.ʂə.ˈd̪əɹ.bʱə/,रूक्ष॔-दर्भ,0
344049,,रूक्षदुर्बल,a,ap----a--a,,,,/ɹuːk.ʂə.ˈd̪uɹ.bə.lə/,रूक्ष॔-दुर्बल,0
344050,71900,रूक्षगन्ध,n,n-----m--a,,,,/ɹuːk.ʂə.gən.d̪ʰə/,रूक्ष॔-गन्ध,0
344051,71901,रूक्षगन्धक,n,n-----m--a,,,,/ɹuːk.ʂə.gən.d̪ʰə.kə/,रूक्ष॔-गन्धक,0
344052,,रूक्षम्लानाङ्ग,a,ap----a--a,,,,/ɹuːk.ʂəm.lɑː.nɑːŋ.gə/,रूक्ष॔-म्लानाङ्ग,0
344053,,रूक्षनिष्ठुरवाद,n,n-----m--a,,,,/ɹuːk.ʂə.ˈniʂ.ʈʰu.ɹə.ʋɑː.d̪ə/,रूक्ष॔-निष्ठुर-वाद,0
344054,71907,रूक्षपत्त्र,n,n-----m--a,,,,/ɹuːk.ʂə.ˈpət̪.t̪ɹə/,रूक्ष॔-पत्त्र,0
344055,71908,रूक्षपेषम्,r,rp--------,,,,/ɹuːk.ʂə.peː.ʂəm/,रूक्ष॔-पेषम्,0
344056,71909,रूक्षप्रिय,n,n-----m--a,,,,/ɹuːk.ˈʂəp.ɹi.jə/,रूक्ष॔-प्रिय,0
344057,71917,रूक्षस्वर,a,ap----a--a,,,,/ɹuːk.ˈʂəs.ʋə.ɹə/,रूक्ष॔-स्वर,0
344058,71918,रूक्षस्वर,n,n-----m--a,,,,/ɹuːk.ˈʂəs.ʋə.ɹə/,रूक्ष॔-स्वर,0
344059,,रूक्षस्वरम्,r,rp--------,,,,/ɹuːk.ˈʂəs.ʋə.ɹəm/,रूक्ष॔-स्वरम्,0
344060,71919,रूक्षस्वादुफल,n,n-----m--a,,,,/ɹuːk.ˈʂəs.ʋɑː.d̪u.pʰə.lə/,रूक्ष॔-स्वादु-फल,0
344061,,रूक्षत्व,n,n-----n--a,,,,/ɹuːk.ˈʂət̪.ʋə/,रूक्ष॔-त्व,0
344062,,रूक्षता,n,n-----f--ā,,,,/ɹuːk.ʂə.t̪ɑː/,रूक्ष॔-ता,0
344063,71912,रूक्षवर्ण,a,ap----a--a,,,,/ɹuːk.ʂə.ˈʋəɹ.ɳə/,रूक्ष॔-वर्ण,0
344064,71913,रूक्षवाच्,n,n-----f--c,,,,/ɹuːk.ʂə.ʋɑːt͡ɕ/,रूक्ष॔-वाच्,0
344065,71914,रूक्षवादिन्,a,ap----a--n,,,,/ɹuːk.ʂə.ʋɑː.d̪in/,रूक्ष॔-वादिन्,0
344066,71915,रूक्षवालुक,n,n-----n--a,,,,/ɹuːk.ʂə.ʋɑː.lu.kə/,रूक्ष॔-वालुक,0
344067,71916,रूक्षवाशिन्,a,ap----a--n,,,,/ɹuːk.ʂə.ʋɑː.ɕin/,रूक्ष॔-वाशिन्,0
344068,71922,रूक्षण,n,n-----n--a,,,,/ɹuːk.ʂə.ɳə/,रूक्षण,0
344069,71921,रूक्षण,a,ap----a--a,,,,/ɹuːk.ʂə.ɳə/,रूक्षण,0
344070,71923,रूक्षणीय,n,n-----m--a,,,,/ɹuːk.ʂə.ɳiː.jə/,रूक्षणीय,0
344071,71924,रूक्षणीया,n,n-----f--ā,,,,/ɹuːk.ʂə.ɳiː.jɑː/,रूक्षणीया,0
344072,,रूक्षित,a,ap----a--a,,,,/ɹuːk.ʂi.t̪ə/,रूक्षित,0
344073,,रूक्षितत्व,n,n-----n--a,,,,/ɹuːk.ʂi.ˈt̪ət̪.ʋə/,रूक्षित-त्व,0
344074,71898,रूक्षा,n,n-----f--ā,,,,/ɹuːk.ʂɑː/,रूक्षा॔,0
344075,71920,रूक्षाभिभाषिन्,a,ap----a--n,,ap----f--ī=>िणी,,/ɹuːk.ʂɑː.bʱi.bʱɑː.ʂin/,रूक्षाभिभाषिन्,0
344076,71926,रूक्षीकृत,a,ap----a--a,,,,/ɹuːk.ʂiː.kɹ̩.t̪ə/,रूक्षी-कृत,0
344077,79627,रूम,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=रूम",/ɹuː.mə/,रूम,0
344078,,रूप्,v,v----a--0- v----d--0-,,,,/ɹuːp/,रूप्,0
344079,71930,रूप,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=रूप",/ɹuː.pə/,रूप॔,0
344081,,रूप,a,ap----a--a,,ap----f--ā=>ा ap----f--ī=>ी,,/ɹuː.pə/,रूप॔,0
344083,,रूपभेद,n,n-----m--a,,,,/ɹuː.pə.bʱeː.d̪ə/,रूप॔-भेद,0
344084,71978,रूपभेद,n,n-----n--a,,,,/ɹuː.pə.bʱeː.d̪ə/,रूप॔-भेद,0
344085,,रूपभेदप्रकाश,n,n-----m--a,,,,/ɹuː.pə.bʱeː.ˈd̪əp.ɹə.kɑː.ɕə/,रूप॔-भेद-प्रकाश,0
344086,71973,रूपभागानुबन्ध,n,n-----m--a,,,,/ɹuː.pə.bʱɑː.gɑː.nu.bən.d̪ʰə/,रूप॔-भागानुबन्ध,0
344087,71974,रूपभागापवाह,n,n-----m--a,,,,/ɹuː.pə.bʱɑː.gɑː.pə.ʋɑː.ɦə/,रूप॔-भागापवाह,0
344088,,रूपभाज्,a,ap----a--c,,,,/ɹuː.pə.bʱɑːd͡ʑ/,रूप॔-भाज्,0
344089,,रूपभृत्,a,ap----a--c,,,,/ɹuː.pə.bʱɹ̩t̪/,रूप॔-भृत्,0
344090,71943,रूपचन्द्र,n,n-----m--a,,,,/ɹuː.pə.t͡ɕən.d̪ɹə/,रूप॔-चन्द्र,0
344091,71944,रूपचिन्तामणि,n,n-----m--i,,,,/ɹuː.pə.t͡ɕin.t̪ɑː.mə.ɳi/,रूप॔-चिन्तामणि,0
344092,71956,रूपदेव,n,n-----m--a,,,,/ɹuː.pə.d̪eː.ʋə/,रूप॔-देव,0
344093,,रूपधर,a,ap----a--a,,,,/ɹuː.pə.d̪ʰə.ɹə/,रूप॔-धर,0
344094,71958,रूपधर,n,n-----m--a,,,,/ɹuː.pə.d̪ʰə.ɹə/,रूप॔-धर,0
344095,71963,रूपधेय,n,n-----n--a,,,,/ɹuː.pə.d̪ʰeː.jə/,रूप॔-धे॔य,0
344096,,रूपधारिन्,a,ap----a--n,,,,/ɹuː.pə.d̪ʰɑː.ɹin/,रूप॔-धारिन्,0
