7798,सुविनय,a,ap----a--a,,,,/su.ʋi.nə.jə/,सु-विनय,0
367278,97799,सुविनष्ट,a,ap----a--a,,,,/su.ʋi.ˈnəʂ.ʈə/,सु-विनष्ट,0
367279,97805,सुविनेय,a,ap----a--a,,,,/su.ʋi.neː.jə/,सु-विनेय,0
367280,97800,सुविनिर्मल,a,ap----a--a,,,,/su.ʋi.ˈniɹ.mə.lə/,सु-विनिर्मल,0
367281,,सुविनिश्चय,n,n-----m--a,,,,/suʋiniɕt͡ɕəjə/,सु-विनिश्चय,0
367282,,सुविनिश्चित,a,ap----a--a,,,,/suʋiniɕt͡ɕit̪ə/,सु-विनिश्चित,0
367283,97806,सुविन्यस्त,a,ap----a--a,,,,/su.ʋin.ˈjəs.t̪ə/,सु-विन्यस्त,0
367284,,सुविनीत,a,ap----a--a,,ap----f--ā=>ा,,/su.ʋi.niː.t̪ə/,सु-विनीत,0
367285,97804,सुविनीता,n,n-----f--ā,,,,/su.ʋi.niː.t̪ɑː/,सु-विनीता,0
367286,97807,सुविपिन,a,ap----a--a,,,,/su.ʋi.pi.nə/,सु-विपिन,0
367287,97809,सुविप्र,a,ap----a--a,,,,/su.ˈʋip.ɹə/,सु-विप्र,0
367288,,सुविपुल,a,ap----a--a,,ap----f--ā=>ा,,/su.ʋi.pu.lə/,सु-विपुल,0
367289,97818,सुविरज,a,ap----a--a,,,,/su.ʋi.ɹə.d͡ʑə/,सु-विरज,0
367290,,सुविरूढ,a,ap----a--a,,,,/su.ʋi.ɹuː.ɖʰə/,सु-विरूढ,0
367291,97845,सुविस्मय,a,ap----a--a,,ap----f--ā=>ा,,/su.ˈʋis.mə.jə/,सु-विस्मय,0
367292,97846,सुविस्मित,a,ap----a--a,,,,/su.ˈʋis.mi.t̪ə/,सु-विस्मित,0
367293,,सुविस्पष्ट,a,ap----a--a,,,,/su.ˈʋis.ˈpəʂ.ʈə/,सु-विस्पष्ट,0
367295,,सुविस्तर,n,n-----m--a,,,,/su.ˈʋis.t̪ə.ɹə/,सु-विस्तर,0
367296,,सुविस्तर,a,ap----a--a,,ap----f--ā=>ा,,/su.ˈʋis.t̪ə.ɹə/,सु-विस्तर,0
367298,,सुविस्तरम्,r,rp--------,,,,/su.ˈʋis.t̪ə.ɹəm/,सु-विस्तरम्,0
367299,,सुविस्तीर्ण,a,ap----a--a,,,,/su.ˈʋis.t̪iːɹ.ɳə/,सु-विस्तीर्ण,0
367300,,सुविस्तीर्णम्,r,rp--------,,,,/su.ˈʋis.t̪iːɹ.ɳəm/,सु-विस्तीर्णम्,0
367302,98386,सुवित,a,ap----a--a,,,,/su.ʋi.t̪ə/,सु-व्-इत॔,0
367303,98387,सुवित,n,n-----n--a,,,,/su.ʋi.t̪ə/,सु-व्-इत॔,0
367304,97771,सुवितल,n,n-----m--a,,,,/su.ʋi.t̪ə.lə/,सु-वितल,0
367305,,सुवितत,a,ap----a--a,,,,/su.ʋi.t̪ə.t̪ə/,सु-वितत,0
367306,97773,सुवित्त,a,ap----a--a,,,,/su.ˈʋit̪.t̪ə/,सु-वित्त॔,0
367307,97772,सुवित्त,n,n-----n--a,,,,/su.ˈʋit̪.t̪ə/,सु-वित्त॔,0
367308,97774,सुवित्ति,n,n-----m--i,,,,/su.ˈʋit̪.t̪i/,सु-वित्ति,0
367309,97821,सुविवक्तृ,n,n-----m--r,,,,/su.ʋi.ˈʋək.t̪ɹ̩/,सु-विवक्तृ,0
367310,97822,सुविवर्तित,a,ap----a--a,,,,/su.ʋi.ˈʋəɹ.t̪i.t̪ə/,सु-विवर्तित,0
367311,97823,सुविविक्त,a,ap----a--a,,,,/su.ʋi.ˈʋik.t̪ə/,सु-विविक्त,0
367312,97824,सुविवृत्,a,ap----a--c,,,,/su.ʋi.ʋɹ̩t̪/,सु-विवृ॔त्,0
367313,97825,सुविवृत,a,ap----a--a,,,,/su.ʋi.ʋɹ̩.t̪ə/,सु-विवृत॔,0
367314,,सुविशद,a,ap----a--a,,,,/su.ʋi.ɕə.d̪ə/,सु-विशद,0
367315,,सुविशिष्ट,a,ap----a--a,,,,/su.ʋi.ˈɕiʂ.ʈə/,सु-विशिष्ट,0
367316,97833,सुविशोधक,a,ap----a--a,,,,/su.ʋi.ɕoː.d̪ʰə.kə/,सु-विशोधक,0
367317,,सुविश्रब्ध,a,ap----a--a,,,,/suʋiɕɹəbd̪ʰə/,सु-विश्रब्ध,0
367318,,सुविश्रब्धम्,r,rp--------,,,,/suʋiɕɹəbd̪ʰəm/,सु-विश्रब्धम्,0
367319,97832,सुविशुद्ध,a,ap----a--a,,,,/su.ʋi.ˈɕud̪.d̪ʰə/,सु-विशुद्ध,0
367320,,सुविश्वस्त,a,ap----a--a,,,,/suʋiɕʋəst̪ə/,सु-विश्वस्त,0
367321,,सुविशाल,a,ap----a--a,,,,/su.ʋi.ɕɑː.lə/,सु-विशाल,0
367322,97829,सुविशाल,n,n-----m--a,,,,/su.ʋi.ɕɑː.lə/,सु-विशाल,0
367323,97830,सुविशाला,n,n-----f--ā,,,,/su.ʋi.ɕɑː.lɑː/,सु-विशाला,0
367324,,सुविशालाक्ष,a,ap----a--a,,,,/su.ʋi.ɕɑː.lɑːk.ʂə/,सु-विशालाक्ष,0
367325,,सुविशारद,a,ap----a--a,,ap----f--ā=>ा,,/su.ʋi.ɕɑː.ɹə.d̪ə/,सु-विशारद,0
367326,,सुविषण्ण,a,ap----a--a,,,,/su.ʋi.ˈʂəɳ.ɳə/,सु-विषण्ण,0
367327,,सुविषाण,a,ap----a--a,,,,/su.ʋi.ʂɑː.ɳə/,सु-विषाण,0
367328,97840,सुविष्णु,n,n-----m--u,,,,/su.ˈʋiʂ.ɳu/,सु-विष्णु,0
367329,97838,सुविष्टम्भिन्,a,ap----a--n,,,,/su.ˈʋiʂ.ʈəm.bʱin/,सु-विष्टम्भिन्,0
367330,97839,सुविष्ठित,a,ap----a--a,,,,/su.ˈʋiʂ.ʈʰi.t̪ə/,सु-विष्ठित,0
367332,97903,सुव्रत,n,n-----m--a,,,,/ˈsuʋ.ɹə.t̪ə/,सु-व्रत॔,0
367337,97901,सुव्रत,a,ap----a--a,,ap----f--ā=>ा,,/ˈsuʋ.ɹə.t̪ə/,सु-व्रत॔,0
367398,97748,सुवास्तु,n,n-----m--u,,,,/su.ʋɑːs.t̪u/,सु-वा॔स्तु,0
367344,,सुव्रतदत्त,n,n-----m--a,,,,/ˈsuʋ.ɹə.t̪ə.ˈd̪ət̪.t̪ə/,सु-व्रत-दत्त,0
367345,,सुव्रतस्वर,n,n-----m--a,,,,/ˈsuʋ.ɹə.ˈt̪əs.ʋə.ɹə/,सु-व्रत॔-स्वर,0
367351,97904,सुव्रता,n,n-----f--ā,,,,/ˈsuʋ.ɹə.t̪ɑː/,सु-व्रता,0
367353,,सुव्यक्त,a,ap----a--a,,,,/ˈsuʋ.ˈjək.t̪ə/,सु-व्यक्त,0
367354,,सुव्यक्तम्,r,rp--------,,,,/ˈsuʋ.ˈjək.t̪əm/,सु-व्यक्तम्,0
367355,,सुव्यस्त,a,ap----a--a,,,,/ˈsuʋ.ˈjəs.t̪ə/,सु-व्यस्त,0
367356,,सुव्यवस्थित,a,ap----a--a,,,,/ˈsuʋ.jə.ˈʋəs.t̪ʰi.t̪ə/,सु-व्यवस्थित,0
367357,,सुव्युष्ट,a,ap----a--a,,,,/ˈsuʋ.ˈjuʂ.ʈə/,सु-व्युष्ट,0
367358,,सुव्याहृत,n,n-----n--a,,,,/ˈsuʋ.jɑː.ɦɹ̩.t̪ə/,सु-व्याहृत,0
367359,97897,सुव्याख्यात,a,ap----a--a,,,,/ˈsuʋ.jɑːkʰ.jɑː.t̪ə/,सु-व्याख्यात,0
367360,97900,सुव्यूहमुखा,n,n-----f--ā,,,,/ˈsuʋ.juː.ɦə.mu.kʰɑː/,सु-व्यूह-मुखा,0
367361,,सुव्यूहा,n,n-----f--ā,,,,/ˈsuʋ.juː.ɦɑː/,सु-व्यूहा,0
367362,97723,सुवाच्,n,n-----m--c,,,,/su.ʋɑːt͡ɕ/,सु-वा॔च्,0
367364,97722,सुवाच्,a,ap----a--c,,,,/su.ʋɑːt͡ɕ/,सु-वा॔च्,0
367366,97724,सुवाचस्,a,ap----a-sa,,,,/su.ʋɑː.t͡ɕəs/,सु-वा॔चस्,0
367367,97725,सुवाच्य,a,ap----a--a,,,,/su.ʋɑːt͡ɕ.jə/,सु-वाच्य,0
367368,97729,सुवादित्र,n,n-----n--a,,,,/su.ʋɑː.ˈd̪it̪.ɹə/,सु-वादित्र,0
367369,,सुवाग्मिन्,a,ap----a--n,,,,/su.ʋɑːg.min/,सु-वाग्मिन्,0
367370,97750,सुवाह,a,ap----a--a,,,,/su.ʋɑː.ɦə/,सु-वाह,0
367371,97751,सुवाह,n,n-----m--a,,,,/su.ʋɑː.ɦə/,सु-वाह,0
367373,97752,सुवाहन,n,n-----m--a,,,,/su.ʋɑː.ɦə.nə/,सु-वाहन,0
367374,97726,सुवाजिन्,a,ap----a--n,,,,/su.ʋɑː.d͡ʑin/,सु-वाजिन्,0
367375,,सुवाजिवापु,n,n-----m--u,,,,/su.ʋɑː.d͡ʑi.ʋɑː.pu/,सु-वाजि-वापु,0
367376,,सुवाक्य,a,ap----a--a,,,,/su.ʋɑːk.jə/,सु-वाक्य,0
367377,97734,सुवाल,a,ap----a--a,,,,/su.ʋɑː.lə/,सु-वाल,0
367378,,सुवालधि,n,n-----m--i,,,,/su.ʋɑː.lə.d̪ʰi/,सु-वालधि,0
367379,,सुवालधिखुर,a,ap----a--a,,ap----f--ā=>ा,,/su.ʋɑː.lə.d̪ʰi.kʰu.ɹə/,सु-वालधि-खुर,0
367380,97736,सुवालुका,n,n-----f--ā,,,,/su.ʋɑː.lu.kɑː/,सु-वालुका,0
367381,97731,सुवामा,n,n-----f--ā,,,,/su.ʋɑː.mɑː/,सु-वामा,0
367382,97730,सुवान्त,a,ap----a--a,,,,/su.ʋɑːn.t̪ə/,सु-वान्त,0
367383,97732,सुवार्,a,ap----a--c,,,,/su.ʋɑːɹ/,सु-वार्,0
367384,97733,सुवार्त्ता,n,n-----f--ā,,,,/su.ʋɑːɹt̪.t̪ɑː/,सु-वार्त्ता,0
367385,97739,सुवास,n,n-----m--a,,,,/su.ʋɑː.sə/,सु-वास,0
367388,97740,सुवासक,n,n-----m--a,,,,/su.ʋɑː.sə.kə/,सु-वासक,0
367389,,सुवासकुमार,n,n-----m--a,,,,/su.ʋɑː.sə.ku.mɑː.ɹə/,सु-वास-कुमार,0
367390,,सुवासकुमारक,n,n-----m--a,,,,/su.ʋɑː.sə.ku.mɑː.ɹə.kə/,सु-वास-कुमारक,0
367391,97741,सुवासन,n,n-----m--a,,,,/su.ʋɑː.sə.nə/,सु-वासन,0
367392,97742,सुवासरा,n,n-----f--ā,,,,/su.ʋɑː.sə.ɹɑː/,सु-वासरा,0
367393,97743,सुवासस्,a,ap----a-sa,,,,/su.ʋɑː.səs/,सु-वा॔सस्,0
367394,,सुवासिन्,a,ap----a--n,,,,/su.ʋɑː.sin/,सु-वासिन्,0
367396,97746,सुवासिनी,n,n-----f--ī,,,,/su.ʋɑː.si.niː/,सु-वासिनी,0
367397,,सुवासित,a,ap----a--a,,,,/su.ʋɑː.si.t̪ə/,सु-वासित,0
367399,97747,सुवास्तु,n,n-----f--u,,,,/su.ʋɑːs.t̪u/,सु-वा॔स्तु,0
367400,97749,सुवास्तुक,n,n-----m--a,,,,/su.ʋɑːs.t̪u.kə/,सु-वास्तुक,0
367401,97728,सुवात्र,n,n-----n--a,,,,/su.ʋɑːt̪.ɹə/,सु-वात्र,0
367402,97727,सुवाता,n,n-----f--ā,,,,/su.ʋɑː.t̪ɑː/,सु-वाता,0
367404,97852,सुवीर,n,n-----n--a,,,,/su.ʋiː.ɹə/,सु-वी॔र,0
367406,,सुवीर,a,ap----a--a,,ap----f--ā=>ा,,/su.ʋiː.ɹə/,सु-वी॔र,0
367411,97851,सुवीर,n,n-----m--a,,,,/su.ʋiː.ɹə/,सु-वी॔र,0
367415,172837,सुवीरज,n,n-----n--a,,,,/su.ʋiː.ɹə.d͡ʑə/,सु-वी॔र-ज,0
367416,97854,सुवीरक,n,n-----n--a,,,,/su.ʋiː.ɹə.kə/,सु-वीरक,0
367417,97853,सुवीरक,n,n-----m--a,,,,/su.ʋiː.ɹə.kə/,सु-वीरक,0
367418,,सुवीरता,n,n-----f--ā,,,,/su.ʋiː.ɹə.t̪ɑː/,सु-वी॔र॔-ता,0
367419,97855,सुवीर्य,n,n-----n--a,,,,/su.ʋiːɹ.jə/,सु-वी॔र्य,0
367421,,सुवीर्य,a,ap----a--a,,,,/su.ʋiːɹ.jə/,सु-वी॔र्य,0
367423,97857,सुवीर्या,n,n-----f--ā,,,,/su.ʋiːɹ.jɑː/,सु-वी॔र्या,0
367424,,सुवीराम्ल,n,n-----n--a,,,,/su.ʋiː.ɹɑːm.lə/,सु-वी॔राम्ल,0
367425,97849,सुवीथीपथ,n,n-----m--a,,,,/su.ʋiː.t̪ʰiː.pə.t̪ʰə/,सु-वीथी-पथ,0
367426,97868,सुवृद्ध,a,ap----a--a,,,,/su.ˈʋɹ̩d̪.d̪ʰə/,सु-वृद्ध,0
367427,97869,सुवृद्ध,n,n-----m--a,,,,/su.ˈʋɹ̩d̪.d̪ʰə/,सु-वृद्ध,0
367428,97870,सुवृध्,a,ap----a--c,,,,/su.ʋɹ̩d̪ʰ/,सु-वृ॔ध्,0
367429,97871,सुवृध,a,ap----a--a,,,,/su.ʋɹ̩.d̪ʰə/,सु-वृ॔ध,0
367430,,सुवृजन,a,ap----a--a,,ap----f--ā=>ा,,/su.ʋɹ̩.d͡ʑə.nə/,सु-वृज॔न,0
367432,97858,सुवृक्ति,n,n-----f--i,,,,/su.ˈʋɹ̩k.t̪i/,सु-वृक्ति॔,0
367433,97859,सुवृक्ति,a,ap----a--i,,,,/su.ˈʋɹ̩k.t̪i/,सु-वृक्ति॔,0
367434,97860,सुवृक्ष,n,n-----m--a,,,,/su.ˈʋɹ̩k.ʂə/,सु-वृक्ष,0
367435,97862,सुवृत्,a,ap----a--c,,,,/su.ʋɹ̩t̪/,सु-वृ॔त्,0
367436,97864,सुवृत्त,n,n-----m--a,,,,/su.ˈʋɹ̩t̪.t̪ə/,सु-वृत्त,0
367437,,सुवृत्त,a,ap----a--a,,ap----f--ā=>ा,,/su.ˈʋɹ̩t̪.t̪ə/,सु-वृत्त,0
367438,97866,सुवृत्त,n,n-----n--a,,,,/su.ˈʋɹ̩t̪.t̪ə/,सु-वृत्त,0
367440,,सुवृत्ततिलक,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=सुवृत्ततिलक",/su.ˈʋɹ̩t̪.t̪ə.t̪i.lə.kə/,सु-वृत्त-तिलक,0
367441,,सुवृत्तता,n,n-----f--ā,,,,/su.ˈʋɹ̩t̪.t̪ə.t̪ɑː/,सु-वृत्त-ता,0
367442,97867,सुवृत्ति,n,n-----f--i,,,,/su.ˈʋɹ̩t̪.t̪i/,सु-वृत्ति,0
367446,97865,सुवृत्ता,n,n-----f--ā,,,,/su.ˈʋɹ̩t̪.t̪ɑː/,सु-वृत्ता,0
367448,97872,सुवृश्च्,a,ap----a--c,,,,/su.ʋɹ̩ɕt͡ɕ/,सु-वृश्च्,0
367449,97873,सुवृषभ,n,n-----m--a,,,,/su.ʋɹ̩.ʂə.bʱə/,सु-वृषभ,0
