,तावद्द्वयस,a,ap----a--a,,,,/t̪ɑː.ˈʋəd̪.d̪ʋə.jə.sə/,तावद्-द्वयस,0
379216,,तावद्गुण,a,ap----a--a,,,,/t̪ɑː.ˈʋəd̪.gu.ɳə/,तावद्-गुण,0
379217,82080,तावद्गुणित,a,ap----a--a,,,,/t̪ɑː.ˈʋəd̪.gu.ɳi.t̪ə/,तावद्-गुणित,0
379218,,तावद्वर्ष,a,ap----a--a,,,,/t̪ɑː.ˈʋəd̪.ˈʋəɹ.ʂə/,तावद्-वर्ष,0
379219,,तावद्विध,a,ap----a--a,,,,/t̪ɑː.ˈʋəd̪.ʋi.d̪ʰə/,तावद्-विध,0
379220,,तावद्वीर्यवत्,a,ap----a--c,,,,/t̪ɑː.ˈʋəd̪.ʋiːɹ.jə.ʋət̪/,तावद्-वीर्य-वत्,0
379221,82068,तावज्ज्योक्,r,rp--------,,,,/t̪ɑː.ˈʋəd͡ʑ.d͡ʑjoːk/,ता॔वज्-ज्योक्,0
379222,82064,तावक,a,ap----a--a,,ap----f--ī=>ी,,/t̪ɑː.ʋə.kə/,तावक॔,0
379223,82065,तावकीन,a,ap----a--a,,,,/t̪ɑː.ʋə.kiː.nə/,तावकीन,0
379224,82088,तावन्मान,a,ap----a--a,,,,/t̪ɑː.ʋən.mɑː.nə/,तावन्-मान,0
379225,82087,तावन्मात्र,a,ap----a--a,,ap----f--ī=>ी,,/t̪ɑː.ʋən.mɑːt̪.ɹə/,तावन्-मात्र॔,0
379226,,तावन्मात्रे,r,rp--------,,,,/t̪ɑː.ʋən.mɑːt̪.ɹeː/,तावन्-मात्रे॔,0
379227,82089,तावन्त,n,n-----n--a,,,,/t̪ɑː.ʋən.t̪ə/,तावन्त,0
379228,82090,तावर,n,n-----n--a,,,,/t̪ɑː.ʋə.ɹə/,तावर,0
379233,82069,तावत्,r,rp--------,,,,/t̪ɑː.ʋət̪/,ता॔वत्,0
379236,82070,तावत्,a,ap----a--c,,ap----f--ī=>ती,,/t̪ɑː.ʋət̪/,ता॔वत्,0
379239,,तावति,r,rp--------,,,,/t̪ɑː.ʋə.t̪i/,ता॔वति,0
379241,82076,तावतिक,a,ap----a--a,,,,/t̪ɑː.ʋə.t̪i.kə/,तावतिक,0
379242,82077,तावतिथ,a,ap----a--a,,,,/t̪ɑː.ʋə.t̪i.t̪ʰə/,तावतिथ,0
379243,,तावत्क,a,ap----a--a,,,,/t̪ɑː.ˈʋət̪.kə/,तावत्क,0
379244,82071,तावत्कालम्,r,rp--------,,,,/t̪ɑː.ˈʋət̪.kɑː.ləm/,ता॔वत्-कालम्,0
379245,82072,तावत्कृत्वस्,r,rp--------,,,,/t̪ɑː.ˈʋət̪.ˈkɹ̩t̪.ʋəs/,ता॔वत्-कृत्वस्,0
379246,82074,तावत्फल,a,ap----a--a,,,,/t̪ɑː.ˈʋət̪.pʰə.lə/,ता॔वत्-फल,0
379247,82073,तावत्प्रिय,a,ap----a--a,,,,/t̪ɑː.ˈʋət̪.pɹi.jə/,ता॔वत्-प्रिय,0
379248,82075,तावत्सूत्र,n,n-----n--a,,,,/t̪ɑː.ˈʋət̪.suːt̪.ɹə/,ता॔वत्-सूत्र,0
379249,,तावता,r,rp--------,,,,/t̪ɑː.ʋə.t̪ɑː/,ता॔वता,0
379251,82091,ताविष,n,n-----m--a,,,,/t̪ɑː.ʋi.ʂə/,ताविष,0
379252,82092,ताविषी,n,n-----f--ī,,,,/t̪ɑː.ʋi.ʂiː/,ताविषी,0
379253,82095,तावुर,n,n-----m--a,,,,/t̪ɑː.ʋu.ɹə/,तावुर,0
379254,82096,तावुरि,n,n-----m--i,,,,/t̪ɑː.ʋu.ɹi/,तावुरि,0
379255,82097,तावुरु,n,n-----m--u,,,,/t̪ɑː.ʋu.ɹu/,तावुरु,0
379256,82093,तावीष,n,n-----m--a,,,,/t̪ɑː.ʋiː.ʂə/,तावीष,0
379257,82094,तावीषी,n,n-----f--ī,,,,/t̪ɑː.ʋiː.ʂiː/,तावीषी,0
379258,,ताय्,v,v----a--1-,,,,/t̪ɑːj/,ताय्,0
379259,,ताय,n,n-----m--a,,,,/t̪ɑː.jə/,ताय,0
379260,97320,तायन,n,n-----n--a,,,,/t̪ɑː.jə.nə/,तायन,0
379261,97323,तायिक,n,n-----m--a,,,,/t̪ɑː.ji.kə/,तायिक,0
379262,97322,तायिन्,n,n-----m--n,,,,/t̪ɑː.jin/,तायिन्,0
379263,97324,तायु,n,n-----m--u,,,,/t̪ɑː.ju/,तायु॔,0
379264,,तायादर,a,ap----a--a,,,,/t̪ɑː.jɑː.d̪ə.ɹə/,तायादर॔,0
379267,96981,ताड,n,n-----m--a,,,,/t̪ɑː.ɖə/,ता॔ड,0
379269,96980,ताड,a,ap----a--a,,,,/t̪ɑː.ɖə/,ता॔ड,0
379272,96983,ताडघ,n,n-----m--a,,,,/t̪ɑː.ɖə.gʰə/,ता॔ड-घ,0
379273,96984,ताडघात,a,ap----a--a,,,,/t̪ɑː.ɖə.gʰɑː.t̪ə/,ता॔ड-घात,0
379274,96987,ताडक,n,n-----m--a,,,,/t̪ɑː.ɖə.kə/,ताडक,0
