7,अयुताध्यापक,n,n-----m--a,,,,/ə.ju.t̪ɑːd̪ʰ.jɑː.pə.kə/,अयुताध्यापक,0
224542,32446,अयुताजित्,n,n-----m--c,,,,/ə.ju.t̪ɑː.d͡ʑit̪/,अयुता-जित्,0
224543,,अयुतायु,n,n-----m--u,,,,/ə.ju.t̪ɑː.ju/,अयुतायु,0
224544,32448,अयुताश्व,n,n-----m--a,,,,/əjut̪ɑːɕʋə/,अयुताश्व,0
224545,32462,अयुवमारिन्,a,ap----a--n,,,,/ə.ju.ʋə.mɑː.ɹin/,अ-युव-मारिन्,0
224546,,अयुङ्ग,a,ap----a--a,,,,/ə.juŋ.gə/,अ-युङ्ग,0
224547,,अयुङ्नेत्र,n,n-----m--a,,,,/ə.juŋ.neːt̪.ɹə/,अयुङ्-नेत्र,0
224548,32360,अया,r,rp--------,,,,/ə.jɑː/,अ॔या॔,0
224549,,अयाचक,a,ap----a--a,,,,/ə.jɑː.t͡ɕə.kə/,अ-याचक,0
224684,59858,अशन,n,n-----n--a,,,,/əɕə.nə/,अ॔शन,0
224550,,अयाचमान,a,ap----a--a,,,,/ə.jɑː.t͡ɕə.mɑː.nə/,अ-याचमान,0
224551,,अयाचत्,a,ap----a--c,,,,/ə.jɑː.t͡ɕət̪/,अ-याचत्,0
224552,32369,अयाचिन्,a,ap----a--n,,,,/ə.jɑː.t͡ɕin/,अ-याचिन्,0
224553,32363,अयाचित,a,ap----a--a,,,,/ə.jɑː.t͡ɕi.t̪ə/,अ॔-याचित,0
224554,32364,अयाचित,n,n-----m--a,,,,/ə.jɑː.t͡ɕi.t̪ə/,अ॔-याचित,0
224555,32366,अयाचितव्रत,a,ap----a--a,,,,/ə.jɑː.t͡ɕi.ˈt̪əʋ.ɹə.t̪ə/,अ॔-याचित-व्रत,0
224556,32365,अयाचितव्रत,n,n-----n--a,,,,/ə.jɑː.t͡ɕi.ˈt̪əʋ.ɹə.t̪ə/,अ॔-याचित-व्रत,0
224557,32368,अयाचितोपनीत,a,ap----a--a,,,,/ə.jɑː.t͡ɕi.t̪oː.pə.niː.t̪ə/,अयाचितोपनीत,0
224558,,अयाचिताहृत,a,ap----a--a,,,,/ə.jɑː.t͡ɕi.t̪ɑː.ɦɹ̩.t̪ə/,अयाचिताहृत,0
224559,32371,अयाज्य,a,ap----a--a,,,,/ə.jɑːd͡ʑ.jə/,अ-याज्य॔,0
224560,32374,अयाज्यसंयाज्य,n,n-----n--a,,,,/ə.jɑːd͡ʑ.jə.ˈsə̃.jɑːd͡ʑ.jə/,अ-याज्य॔-संयाज्य,0
224561,32372,अयाज्यत्व,n,n-----n--a,,,,/ə.jɑːd͡ʑ.ˈjət̪.ʋə/,अ-याज्य॔-त्व,0
