4,आततीकरण,n,n-----n--a,,,,/ɑː.t̪ə.t̪iː.kə.ɹə.ɳə/,आतती-करण,0
415202,57704,आतव,n,n-----m--a,,,,/ɑː.t̪ə.ʋə/,आतव,0
415203,,आतवायन,n,n-----m--a,,,,/ɑː.t̪ə.ʋɑː.jə.nə/,आतवायन,0
415204,221813,आतञ्च्,v,v----a--7-,,,,/ɑː.t̪əɲt͡ɕ/,आ-तञ्च्,0
415205,57682,आतञ्चन,n,n-----n--a,,,,/ɑː.t̪əɲ.t͡ɕə.nə/,आ-त॔ञ्चन,0
415206,,आतंस्,v,v----a--1- v----d--1- v----a--0-,,,,/ɑː.t̪ə̃s/,आ-तंस्,0
415207,57681,आतङ्क,n,n-----m--a,,,,/ɑː.t̪əŋ.kə/,आ-तङ्क,0
415208,,आतङ्क्य,a,ap----a--a,,,,/ɑː.t̪əŋ.kjə/,आ-तङ्क्य,0
415210,57936,आथर्वण,n,n-----n--a,,,,/ɑː.ˈt̪ʰəɹ.ʋə.ɳə/,आथर्वण॔,0
415214,57934,आथर्वण,a,ap----a--a,,ap----f--ī=>ी,,/ɑː.ˈt̪ʰəɹ.ʋə.ɳə/,आथर्वण॔,0
415216,57935,आथर्वण,n,n-----m--a,,,,/ɑː.ˈt̪ʰəɹ.ʋə.ɳə/,आथर्वण॔,0
415217,57937,आथर्वणरहस्य,n,n-----n--a,,,,/ɑː.ˈt̪ʰəɹ.ʋə.ɳə.ɹə.ˈɦəs.jə/,आथर्वण॔-रहस्य,0
415218,57938,आथर्वणशिरस्,n,n-----n-sa,,,,/ɑː.ˈt̪ʰəɹ.ʋə.ɳə.ɕi.ɹəs/,आथर्वण॔-शिरस्,0
415219,7495,आथर्वणि,n,n-----m--i,,,,/ɑː.ˈt̪ʰəɹ.ʋə.ɳi/,आथर्वणि,0
415220,57939,आथर्वणिक,a,ap----a--a,,ap----f--ī=>ी,,/ɑː.ˈt̪ʰəɹ.ʋə.ɳi.kə/,आथर्वणिक,0
415221,57940,आथर्वणिक,n,n-----m--a,,,,/ɑː.ˈt̪ʰəɹ.ʋə.ɳi.kə/,आथर्वणिक,0
415222,57941,आथर्वणीयरुद्रोपनिषद्,n,n-----f--c,,,,/ɑː.ˈt̪ʰəɹ.ʋə.ɳiː.jə.ˈɹud̪.ɹoː.pə.ni.ʂəd̪/,आथर्वणीय-रुद्रोपनिषद्,0
415223,57942,आथर्विक,a,ap----a--a,,,,/ɑː.ˈt̪ʰəɹ.ʋi.kə/,आथर्विक,0
415224,57706,आति,n,n-----f--i,,,,/ɑː.t̪i/,आति॔,0
415225,57707,आतिच्छन्दस,n,n-----n--a,,,,/ɑː.ˈt̪it͡ɕ.t͡ɕʰən.d̪ə.sə/,आतिच्छन्दस॔,0
415226,57721,आतिदेशिक,a,ap----a--a,,,,/ɑː.t̪i.d̪eː.ɕi.kə/,आतिदेशिक,0
415227,,आतिजगत,a,ap----a--a,,,,/ɑː.t̪i.d͡ʑə.gə.t̪ə/,आतिजगत,0
415228,57723,आतिरैक्य,n,n-----n--a,,,,/ɑː.t̪i.ɹɑːi.kjə/,आतिरैक्य,0
415229,57722,आतिरश्चीन,a,ap----a--a,,,,/ɑːt̪iɹəɕt͡ɕiːnə/,आ-तिरश्चीन,0
415230,,आतिस्वायन,a,ap----a--a,,,,/ɑː.ˈt̪is.ʋɑː.jə.nə/,आतिस्वायन,0
415231,207560,आतिसारिक,a,ap----a--a,,ap----f--ī=>ी,,/ɑː.t̪i.sɑː.ɹi.kə/,आतिसारिक,0
415232,57710,आतिथेय,n,n-----m--a,,,,/ɑː.t̪i.t̪ʰeː.jə/,आतिथेय,0
415233,,आतिथेय,n,n-----n--a,,,,/ɑː.t̪i.t̪ʰeː.jə/,आतिथेय,0
415234,57709,आतिथेय,a,ap----a--a,,ap----f--ī=>ी,,/ɑː.t̪i.t̪ʰeː.jə/,आतिथेय,0
415235,57711,आतिथेयी,n,n-----f--ī,,,,/ɑː.t̪i.t̪ʰeː.jiː/,आतिथेयी,0
415236,57708,आतिथिग्व,n,n-----m--a,,,,/ɑː.t̪i.ˈt̪ʰig.ʋə/,आतिथिग्व॔,0
415237,57713,आतिथ्य,n,n-----m--a,,,,/ɑː.ˈt̪it̪ʰ.jə/,आतिथ्य॔,0
