03,शारिकानाथ,n,n-----m--a,,,,/ɕɑː.ɹi.kɑː.nɑː.t̪ʰə/,शारिका-नाथ,0
427281,131004,शारिकापीठ,n,n-----n--a,,,,/ɕɑː.ɹi.kɑː.piː.ʈʰə/,शारिका-पीठ,0
427282,131005,शारिकास्तोत्र,n,n-----n--a,,,,/ɕɑː.ɹi.kɑːs.t̪oːt̪.ɹə/,शारिका-स्तोत्र,0
427283,130995,शारिपट्ट,n,n-----m--a,,,,/ɕɑː.ɹi.ˈpəʈ.ʈə/,शा॔रि-पट्ट,0
427284,,शारिफल,n,n-----n--a,,,,/ɕɑː.ɹi.pʰə.lə/,शा॔रि-फल,0
427285,,शारिफलक,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=शारिफलक",/ɕɑː.ɹi.pʰə.lə.kə/,शा॔रि-फलक,0
427286,130996,शारिप्रस्तर,n,n-----m--a,,,,/ɕɑː.ˈɹip.ˈɹəs.t̪ə.ɹə/,शा॔रि-प्रस्तर,0
427287,130997,शारिपुत्र,n,n-----m--a,,,,/ɕɑː.ɹi.ˈput̪.ɹə/,शा॔रि-पुत्र,0
427288,,शारिसुत,n,n-----m--a,,,,/ɕɑː.ɹi.su.t̪ə/,शा॔रि-सुत,0
427289,131006,शारित,a,ap----a--a,,,,/ɕɑː.ɹi.t̪ə/,शारित,0
427290,130998,शारिशृङ्खला,n,n-----f--ā,,,,/ɕɑː.ɹi.ɕɹ̩ŋ.kʰə.lɑː/,शा॔रि-शृङ्खला,0
427291,131290,शार्क,n,n-----m--a,,,,/ɕɑːɹ.kə/,शार्क,0
427292,131291,शार्कक,n,n-----m--a,,,,/ɕɑːɹ.kə.kə/,शार्कक,0
427293,132388,शार्कर,n,n-----m--a,,,,/ɕɑːɹ.kə.ɹə/,शार्कर,0
427295,132389,शार्कर,n,n-----n--a,,,,/ɕɑːɹ.kə.ɹə/,शार्कर,0
427296,132387,शार्कर,a,ap----a--a,,ap----f--ī=>ी,,/ɕɑːɹ.kə.ɹə/,शार्कर,0
427297,132391,शार्करक,n,n-----m--a,,,,/ɕɑːɹ.kə.ɹə.kə/,शार्करक,0
427298,132390,शार्करक,a,ap----a--a,,,,/ɕɑːɹ.kə.ɹə.kə/,शार्करक,0
427299,,शार्करिक,a,ap----a--a,,,,/ɕɑːɹ.kə.ɹi.kə/,शार्करिक,0
427300,131298,शार्करिन्,a,ap----a--n,,,,/ɕɑːɹ.kə.ɹin/,शार्करिन्,0
427301,131292,शार्कराक्ष,n,n-----m--a,,,,/ɕɑːɹ.kə.ɹɑːk.ʂə/,शार्कराक्ष,0
427302,131293,शार्कराक्षस,n,n-----m--a,,,,/ɕɑːɹ.kə.ɹɑːk.ʂə.sə/,शार्कराक्षस,0
427303,131294,शार्कराक्षि,n,n-----m--i,,,,/ɕɑːɹ.kə.ɹɑːk.ʂi/,शार्कराक्षि,0
427304,131295,शार्कराक्ष्य,n,n-----m--a,,,,/ɕɑːɹ.kə.ɹɑːk.ʂjə/,शार्कराक्ष्य,0
427305,131296,शार्कराक्ष्यायणी,n,n-----f--ī,,,,/ɕɑːɹ.kə.ɹɑːk.ʂjɑː.jə.ɳiː/,शार्कराक्ष्यायणी,0
427306,,शार्करीधान,a,ap----a--a,,,,/ɕɑːɹ.kə.ɹiː.d̪ʰɑː.nə/,शार्करीधान,0
427307,131300,शार्कोट,a,ap----a--a,,,,/ɕɑːɹ.koː.ʈə/,शा॔र्कोट,0
427308,,शार्मण,a,ap----a--a,,,,/ɕɑːɹ.mə.ɳə/,शार्मण,0
427309,131327,शार्मण्य,n,n-----m--a,,,,/ɕɑːɹ.ˈməɳ.jə/,शार्मण्य,0
427310,,शार्मण्यदेश,n,n-----m--a,,,,/ɕɑːɹ.ˈməɳ.jə.d̪eː.ɕə/,शार्मण्य-देश,0
427311,131007,शारुक,a,ap----a--a,,,,/ɕɑː.ɹu.kə/,शारुक,0
427312,132410,शार्व,a,ap----a--a,,ap----f--ī=>ी,,/ɕɑːɹ.ʋə/,शार्व,0
427313,131330,शार्वरिक,a,ap----a--a,,,,/ɕɑːɹ.ʋə.ɹi.kə/,शार्वरिक,0
427314,131331,शार्वरिन्,n,n-----m--n,,,,/ɕɑːɹ.ʋə.ɹin/,शार्वरिन्,0
427315,,शार्वरी,n,n-----m--ī,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'ī'}=शार्वरी",/ɕɑːɹ.ʋə.ɹiː/,शार्वरी,0
