,भूमिपतित्व,n,n-----n--a,,,,/bʱuː.mi.pə.ˈt̪it̪.ʋə/,भूमि-पति-त्व,0
232517,25474,भूमिपिशाच,n,n-----m--a,,,,/bʱuː.mi.pi.ɕɑː.t͡ɕə/,भूमि-पिशाच,0
232518,25477,भूमिप्र,a,ap----a--a,,,,/bʱuː.ˈmip.ɹə/,भूमि-प्र,0
232519,25478,भूमिप्रचल,n,n-----m--a,,,,/bʱuː.ˈmip.ɹə.t͡ɕə.lə/,भूमि-प्रचल,0
232520,25479,भूमिप्राप्त,a,ap----a--a,,,,/bʱuː.ˈmip.ɹɑːp.t̪ə/,भूमि-प्राप्त,0
232521,25476,भूमिपुरंदर,n,n-----m--a,,,,/bʱuː.mi.pu.ɹən.d̪ə.ɹə/,भूमि-पुरं-दर,0
232522,25475,भूमिपुत्र,n,n-----m--a,,,,/bʱuː.mi.ˈput̪.ɹə/,भूमि-पुत्र,0
232523,25471,भूमिपाल,n,n-----m--a,,,n-----f--ā=भूमिपालआ,/bʱuː.mi.pɑː.lə/,भूमि-पाल,0
232524,25472,भूमिपाश,n,n-----m--a,,,,/bʱuː.mi.pɑː.ɕə/,भूमि-पाश॔,0
232525,25473,भूमिपाशका,n,n-----f--ā,,,,/bʱuː.mi.pɑː.ɕə.kɑː/,भूमि-पाशका,0
232526,25493,भूमिरक्षक,n,n-----m--a,,,,/bʱuː.mi.ˈɹək.ʂə.kə/,भूमि-रक्षक,0
232527,25494,भूमिरथिक,n,n-----m--a,,,,/bʱuː.mi.ɹə.t̪ʰi.kə/,भूमि-रथिक,0
232528,25495,भूमिरुह,n,n-----m--a,,,,/bʱuː.mi.ɹu.ɦə/,भूमि-रुह,0
232530,25511,भूमिसम्भवा,n,n-----f--ā,,,,/bʱuː.mi.səm.bʱə.ʋɑː/,भूमि-सम्भवा,0
232531,25508,भूमिसत्त्र,n,n-----n--a,,,,/bʱuː.mi.ˈsət̪.t̪ɹə/,भूमि-सत्त्र,0
232532,25512,भूमिसव,n,n-----m--a,,,,/bʱuː.mi.sə.ʋə/,भूमि-सव,0
232533,25509,भूमिसंनिवेश,n,n-----m--a,,,,/bʱuː.mi.ˈsə̃.ni.ʋeː.ɕə/,भूमि-संनिवेश,0
232534,25515,भूमिसेन,n,n-----m--a,,,,/bʱuː.mi.seː.nə/,भूमि-सेन,0
232535,25517,भूमिस्नु,n,n-----m--u,,,,/bʱuː.ˈmis.nu/,भूमि-स्नु,0
232536,25518,भूमिस्पृश्,a,ap----a--c,,,,/bʱuː.ˈmis.pɹ̩ɕ/,भूमि-स्पृश्,0
232539,25519,भूमिस्पृश्,n,n-----m--c,,,,/bʱuː.ˈmis.pɹ̩ɕ/,भूमि-स्पृश्,0
232540,25516,भूमिस्तोम,n,n-----m--a,,,,/bʱuː.ˈmis.t̪oːmə/,भूमि-स्तोम,0
232541,25514,भूमिसुत,n,n-----m--a,,,,/bʱuː.mi.su.t̪ə/,भूमि-सुत,0
232542,25520,भूमिस्वामिन्,n,n-----m--n,,,,/bʱuː.ˈmis.ʋɑː.min/,भूमि-स्वामिन्,0
232543,,भूमिसाम्राज्य,n,n-----n--a,,,,/bʱuː.mi.sɑːm.ɹɑːd͡ʑ.jə/,भूमि-साम्राज्य,0
232544,,भूमितल,n,n-----n--a,,,n-----f--ā=भूमितलआ,/bʱuː.mi.t̪ə.lə/,भूमि-तल,0
232545,25453,भूमितनय,n,n-----m--a,,,,/bʱuː.mi.t̪ə.nə.jə/,भूमि-तनय,0
232546,25160,भूमित्र,n,n-----m--a,,,,/bʱuː.ˈmit̪.ɹə/,भू॔-मित्र,0
232547,,भूमित्रय,n,n-----n--a,,,,/bʱuː.ˈmit̪.ɹə.jə/,भूमि-त्रय,0
232548,25455,भूमितुण्डिक,n,n-----m--a,,,,/bʱuː.mi.ˈt̪uɳ.ɖi.kə/,भूमि-तुण्डिक,0
232549,,भूमित्व,n,n-----n--a,,,,/bʱuː.ˈmit̪.ʋə/,भूमि-त्व,0
232550,,भूमिवज्रमणि,n,n-----m--i,,,,/bʱuː.mi.ˈʋəd͡ʑ.ɹə.mə.ɳi/,भूमि-वज्र-मणि,0
232551,25501,भूमिवल्लि,n,n-----f--i,,,,/bʱuː.mi.ˈʋəl.li/,भूमि-वल्लि,0
232552,25500,भूमिवर्धन,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=भूमिवर्धन",/bʱuː.mi.ˈʋəɹ.d̪ʰə.nə/,भूमि-वर्धन,0
232553,25502,भूमिवासिन्,a,ap----a--n,,,,/bʱuː.mi.ʋɑː.sin/,भूमि-वासिन्,0
232554,25667,भूमिआण,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=भूमिआण",/bʱuː.ˈmiɑː.ɳə/,भूमिआण,0
232556,25504,भूमिशय,n,n-----m--a,,,,/bʱuː.mi.ɕə.jə/,भूमि-शय,0
232557,25503,भूमिशय,a,ap----a--a,,,,/bʱuː.mi.ɕə.jə/,भूमि-शय,0
232559,25505,भूमिशयन,n,n-----n--a,,,,/bʱuː.mi.ɕə.jə.nə/,भूमि-शयन,0
232560,,भूमिशय्या,n,n-----f--ā,,,,/bʱuː.mi.ˈɕəj.jɑː/,भूमि-शय्या,0
232561,25452,भूमिंजय,n,n-----m--a,,,,/bʱuː.miɲ.d͡ʑə.jə/,भूमि-ं-जय,0
