id,type,source,target
905330,\,210521,455662
905331,/,455662,210521
905332,\,225464,225453
905333,/,225453,225464
905334,\,225463,225453
905335,/,225453,225463
905336,\,225466,225453
905337,/,225453,225466
905338,\,225465,225453
905339,/,225453,225465
905340,\,225454,225453
905341,/,225453,225454
905342,\,225455,225453
905343,/,225453,225455
905344,\,225456,225453
905345,/,225453,225456
905346,\,225457,225453
905347,/,225453,225457
905348,\,225467,225453
905349,/,225453,225467
905350,\,225470,225453
905351,/,225453,225470
905352,\,225468,225453
905353,/,225453,225468
905354,\,225469,225453
905355,/,225453,225469
905356,\,225458,225453
905357,/,225453,225458
905358,\,225459,225453
905359,/,225453,225459
905360,\,225497,225453
905361,/,225453,225497
905362,\,225496,225453
905363,/,225453,225496
905364,\,225495,225453
905365,/,225453,225495
905366,\,225498,225453
905367,/,225453,225498
905368,\,225462,225453
905369,/,225453,225462
905370,\,225460,225453
905371,/,225453,225460
905372,\,225461,225460
905373,/,225460,225461
905374,\,456625,225453
905375,/,225453,456625
905376,\,225471,225453
905377,/,225453,225471
905378,\,225472,225453
905379,/,225453,225472
905380,\,225479,225473
905381,/,225473,225479
905382,\,225475,225473
905383,/,225473,225475
905384,\,225476,225473
905385,/,225473,225476
905386,\,225477,225473
905387,/,225473,225477
905388,\,225490,225473
905389,/,225473,225490
905390,\,225492,225473
905391,/,225473,225492
905392,\,225491,225473
905393,/,225473,225491
905394,\,225474,225473
905395,/,225473,225474
905396,\,225484,225473
905397,/,225473,225484
905398,\,225485,225473
905399,/,225473,225485
905400,\,225489,225473
905401,/,225473,225489
905402,\,225488,225473
905403,/,225473,225488
905404,\,225494,225473
905405,/,225473,225494
905406,\,225493,225473
905407,/,225473,225493
905408,\,225478,225473
905409,/,225473,225478
905410,\,225499,225473
905411,/,225473,225499
905412,\,456626,225473
905413,/,225473,456626
905414,\,225480,225473
905415,/,225473,225480
905416,\,225481,225473
905417,/,225473,225481
905418,\,225433,456624
905419,/,456624,225433
905420,\,225433,225433
905421,/,225433,225433
905424,\,225440,456624
905425,/,456624,225440
905426,\,225446,456624
905427,/,456624,225446
905428,\,225447,456624
905429,/,456624,225447
905430,\,225438,456624
905431,/,456624,225438
905432,\,225439,456624
905433,/,456624,225439
905434,\,225444,456624
905435,/,456624,225444
905436,\,225445,456624
905437,/,456624,225445
905438,\,225443,456624
905439,/,456624,225443
905440,\,225436,456624
905441,/,456624,225436
905442,\,225448,456624
905443,/,456624,225448
905444,\,225437,456624
905445,/,456624,225437
905446,\,225449,456624
905447,/,456624,225449
905448,\,225442,456624
905449,/,456624,225442
905450,\,225450,456624
905451,/,456624,225450
905452,\,225441,456624
905453,/,456624,225441
905454,\,225451,456624
905455,/,456624,225451
905456,\,225423,225412
905457,/,225412,225423
905458,\,225424,225412
905459,/,225412,225424
905460,\,225425,225412
905461,/,225412,225425
905462,\,225426,225412
905463,/,225412,225426
905464,\,225417,456622
905465,/,456622,225417
905466,\,225413,456622
905467,/,456622,225413
905468,\,225414,456622
905469,/,456622,225414
905470,\,456623,456622
905471,/,456622,456623
905472,\,225415,456622
905473,/,456622,225415
905474,\,225416,456622
905475,/,456622,225416
905476,\,225421,456622
905477,/,456622,225421
905478,\,225420,456622
905479,/,456622,225420
905480,\,225419,456622
905481,/,456622,225419
905482,\,225427,456622
905483,/,456622,225427
905484,\,225428,225427
905485,/,225427,225428
905486,\,225429,456622
905487,/,456622,225429
905488,\,225430,456622
905489,/,456622,225430
905490,\,225432,456622
905491,/,456622,225432
905492,\,225431,225432
905493,/,225432,225431
905494,\,225422,456622
905495,/,456622,225422
905496,\,210352,210351
905497,/,210351,210352
905498,\,210346,210345
905499,/,210345,210346
905500,\,210305,210304
905501,/,210304,210305
905502,\,210306,210304
905503,/,210304,210306
905504,\,210303,210301
905505,/,210301,210303
905506,\,210311,210310
905507,/,210310,210311
905508,\,210312,210310
905509,/,210310,210312
905510,\,210327,210326
905511,/,210326,210327
905512,\,210331,210329
905513,/,210329,210331
905514,\,210333,210329
905515,/,210329,210333
905516,\,210332,210329
905517,/,210329,210332
905518,\,210325,210324
905519,/,210324,210325
905520,\,210314,210318
905521,/,210318,210314
905522,\,210322,210318
905523,/,210318,210322
905524,\,210315,210318
905525,/,210318,210315
905526,\,210321,210315
905527,/,210315,210321
905528,\,210320,210318
905529,/,210318,210320
905530,\,210289,210286
905531,/,210286,210289
905532,\,210296,210295
905533,/,210295,210296
905534,\,210298,210297
905535,/,210297,210298
905536,\,210299,210298
905537,/,210298,210299
905538,\,210344,210340
905539,/,210340,210344
905540,\,210544,210541
905541,/,210541,210544
905542,\,210542,210541
905543,/,210541,210542
905544,\,210543,210541
905545,/,210541,210543
905546,\,210516,210514
905547,/,210514,210516
905548,\,210518,210514
905549,/,210514,210518
905550,\,210519,210514
905551,/,210514,210519
905552,\,210517,210514
905553,/,210514,210517
905554,\,210515,210514
905555,/,210514,210515
905556,\,210520,210514
905557,/,210514,210520
905558,\,210524,210523
905559,/,210523,210524
905560,\,210526,210523
905561,/,210523,210526
905562,\,210525,210523
905563,/,210523,210525
905564,\,210528,210523
905565,/,210523,210528
905566,\,210527,210523
905567,/,210523,210527
905568,\,210529,210523
905569,/,210523,210529
