,+c,464661,226867
1379682,-c,226867,464661
1379683,+c,464040,226869
1379684,-c,226869,464040
1379685,+c,226537,226538
1379686,-c,226538,226537
1379687,+c,378440,226652
1379688,-c,226652,378440
1379689,+c,464661,226651
1379690,-c,226651,464661
1379691,+c,389508,226655
1379692,-c,226655,389508
1379693,+c,456703,226679
1379694,-c,226679,456703
1379695,+c,456703,226680
1379696,-c,226680,456703
1379697,+c,272631,226680
1379698,-c,226680,272631
1379699,+c,456703,226681
1379700,-c,226681,456703
1379701,+c,456703,226682
1379702,-c,226682,456703
1379703,+c,284630,226682
1379704,-c,226682,284630
1379705,+c,456703,226676
1379706,-c,226676,456703
1379707,+c,456958,226676
1379708,-c,226676,456958
1379709,+c,456703,226677
1379710,-c,226677,456703
1379711,+c,456703,226678
1379712,-c,226678,456703
1379713,+c,456713,226995
1379714,-c,226995,456713
1379715,+c,456713,226996
1379716,-c,226996,456713
1379717,+c,464661,226996
1379718,-c,226996,464661
1379719,+c,456713,226997
1379720,-c,226997,456713
1379721,+c,456713,226993
1379722,-c,226993,456713
1379723,+c,456713,226989
1379724,-c,226989,456713
1379725,+c,456713,226990
1379726,-c,226990,456713
1379727,+c,456713,226994
1379728,-c,226994,456713
1379729,+c,456713,226991
1379730,-c,226991,456713
1379731,+c,456713,226992
1379732,-c,226992,456713
1379733,+c,456713,226999
1379734,-c,226999,456713
1379735,+c,456713,227000
1379736,-c,227000,456713
1379737,+c,456713,227001
1379738,-c,227001,456713
1379739,+c,456713,227002
1379740,-c,227002,456713
1379741,+c,456713,227004
1379742,-c,227004,456713
1379743,+c,456713,227003
1379744,-c,227003,456713
1379745,+c,456713,227005
1379746,-c,227005,456713
1379747,+c,456713,227006
1379748,-c,227006,456713
1379749,+c,456713,226987
1379750,-c,226987,456713
1379751,+c,456713,226988
1379752,-c,226988,456713
1379753,+c,456713,226998
1379754,-c,226998,456713
1379755,+c,456713,227008
1379756,-c,227008,456713
1379757,+c,456713,227007
1379758,-c,227007,456713
1379759,+c,456713,227010
1379760,-c,227010,456713
1379761,+c,456713,227012
1379762,-c,227012,456713
1379763,+c,456713,227011
1379764,-c,227011,456713
1379765,+c,456713,227015
1379766,-c,227015,456713
1379767,+c,412683,227015
1379768,-c,227015,412683
1379769,+c,456713,227014
1379770,-c,227014,456713
1379771,+c,411980,227014
1379772,-c,227014,411980
1379773,+c,456713,227019
1379774,-c,227019,456713
1379775,+c,416128,227019
1379776,-c,227019,416128
1379777,+c,456713,227018
1379778,-c,227018,456713
1379779,+c,416128,227018
1379780,-c,227018,416128
1379781,+c,456713,227020
1379782,-c,227020,456713
1379783,+c,416124,227020
1379784,-c,227020,416124
1379785,+c,464661,227020
1379786,-c,227020,464661
1379787,+c,456713,227016
1379788,-c,227016,456713
1379789,+c,456713,227017
1379790,-c,227017,456713
1379791,+c,456713,227021
1379792,-c,227021,456713
1379793,+c,456713,227022
1379794,-c,227022,456713
1379795,+c,456713,227023
1379796,-c,227023,456713
1379797,+c,300505,227023
1379798,-c,227023,300505
1379799,+c,456713,227024
1379800,-c,227024,456713
1379801,+c,429572,227024
1379802,-c,227024,429572
1379803,+c,456713,227025
1379804,-c,227025,456713
1379805,+c,429572,227025
1379806,-c,227025,429572
1379807,+c,456713,227026
1379808,-c,227026,456713
1379809,+c,456713,227027
1379810,-c,227027,456713
1379811,+c,456713,227031
1379812,-c,227031,456713
1379813,+c,282893,227031
1379814,-c,227031,282893
1379815,+c,456713,227029
1379816,-c,227029,456713
1379817,+c,458583,227029
1379818,-c,227029,458583
1379819,+c,282893,227029
1379820,-c,227029,282893
1379821,+c,456713,227030
1379822,-c,227030,456713
1379823,+c,458583,227030
1379824,-c,227030,458583
1379825,+c,456713,227032
1379826,-c,227032,456713
1379827,+c,456713,227028
1379828,-c,227028,456713
1379829,+c,456713,227034
1379830,-c,227034,456713
1379831,+c,328947,227034
1379832,-c,227034,328947
1379833,+c,456713,227035
1379834,-c,227035,456713
1379835,+c,467828,227035
1379836,-c,227035,467828
1379837,+c,459239,227035
1379838,-c,227035,459239
1379839,+c,460457,227035
1379840,-c,227035,460457
1379841,+c,456713,227033
1379842,-c,227033,456713
1379843,+c,355103,227033
1379844,-c,227033,355103
1379845,+c,232008,227033
1379846,-c,227033,232008
1379847,+c,456713,227036
1379848,-c,227036,456713
1379849,+c,456713,227037
1379850,-c,227037,456713
1379851,+c,456713,227013
1379852,-c,227013,456713
1379853,+c,456713,227009
1379854,-c,227009,456713
1379855,+c,226436,226437
1379856,-c,226437,226436
1379857,+c,374442,226437
1379858,-c,226437,374442
1379859,+c,226436,226438
1379860,-c,226438,226436
1379861,+c,456686,226350
1379862,-c,226350,456686
1379863,+c,456687,226416
1379864,-c,226416,456687
1379865,+c,456686,226363
1379866,-c,226363,456686
1379867,+c,426799,226363
1379868,-c,226363,426799
1379869,+c,456686,226364
1379870,-c,226364,456686
1379871,+c,467644,226364
1379872,-c,226364,467644
1379873,+c,456686,226361
1379874,-c,226361,456686
1379875,+c,456686,226362
1379876,-c,226362,456686
1379877,+c,456686,226356
1379878,-c,226356,456686
1379879,+c,456686,226351
1379880,-c,226351,456686
1379881,+c,456686,226352
1379882,-c,226352,456686
1379883,+c,456686,226353
1379884,-c,226353,456686
1379885,+c,456686,226354
1379886,-c,226354,456686
1379887,+c,456686,226355
1379888,-c,226355,456686
1379889,+c,464661,226355
1379890,-c,226355,464661
1379891,+c,456686,226360
1379892,-c,226360,456686
1379893,+c,456686,226357
1379894,-c,226357,456686
1379895,+c,456686,226359
1379896,-c,226359,456686
1379897,+c,362143,226359
1379898,-c,226359,362143
1379899,+c,456687,226410
1379900,-c,226410,456687
1379901,+c,456686,226358
1379902,-c,226358,456686
1379903,+c,463696,226358
1379904,-c,226358,463696
1379905,+c,456687,226370
1379906,-c,226370,456687
1379907,+c,456687,226371
1379908,-c,226371,456687
1379913,+c,456687,226373
1379914,-c,226373,456687
1379915,+c,378440,226373
1379916,-c,226373,378440
1379917,+c,456687,226372
1379918,-c,226372,456687
1379919,+c,464661,226372
1379920,-c,226372,464661
1379921,+c,456687,226365
1379922,-c,226365,456687
1379923,+c,456687,226366
1379924,-c,226366,456687
1379925,+c,456687,226367
1379926,-c,226367,456687
1379927,+c,456687,226435
1379928,-c,226435,456687
1379929,+c,456687,226397
1379930,-c,226397,456687
1379931,+c,456687,226388
1379932,-c,226388,456687
1379933,+c,456687,226389
1379934,-c,226389,456687
1379935,+c,464661,226389
1379936,-c,226389,464661
1379937,+c,456687,226387
1379938,-c,226387,456687
1379939,+c,254580,226387
1379940,-c,226387,254580
1379941,+c,456687,226395
1379942,-c,226395,456687
1379943,+c,259799,226395
1379944,-c,226395,259799
1379945,+c,456687,226391
1379946,-c,226391,456687
1379947,+c,456687,226392
1379948,-c,226392,456687
1379949,+c,456687,226396
1379950,-c,226396,456687
1379951,+c,456687,226390
1379952,-c,226390,456687
1379953,+c,456687,226393
1379954,-c,226393,456687
1379955,+c,456687,226394
1379956,-c,226394,456687
1379957,+c,456687,226398
1379958,-c,226398,456687
1379959,+c,456687,456688
1379960,-c,456688,456687
1379961,+c,456687,226386
1379962,-c,226386,456687
1379963,+c,252798,226386
1379964,-c,226386,252798
1379965,+c,456687,226379
1379966,-c,226379,456687
1379967,+c,456687,226383
1379968,-c,226383,456687
1379969,+c,456687,226384
1379970,-c,226384,456687
1379971,+c,456687,226385
1379972,-c,226385,456687
1379973,+c,250865,226385
1379974,-c,226385,250865
1379975,+c,456687,226381
1379976,-c,226381,456687
1379977,+c,456687,226382
1379978,-c,226382,456687
1379979,+c,456958,226382
1379980,-c,226382,456958
1379981,+c,456687,226380
1379982,-c,226380,456687
1379983,+c,456687,226413
1379984,-c,226413,456687
1379985,+c,456687,226412
1379986,-c,226412,456687
1379987,+c,456687,226414
1379988,-c,226414,456687
1379989,+c,456687,226415
1379990,-c,226415,456687
1379991,+c,456687,226374
1379992,-c,226374,456687
1379993,+c,456827,226374
1379994,-c,226374,456827
1379995,+c,456687,226375
1379996,-c,226375,456687
1379997,+c,456687,226376
1379998,-c,226376,456687
1379999,+c,456933,226376
1380000,-c,226376,456933
1380001,+c,456687,226377
1380002,-c,226377,456687
1380003,+c,456958,226377
1380004,-c,226377,456958
1380005,+c,456687,226378
1380006,-c,226378,456687
1380007,+c,456687,226406
1380008,-c,226406,456687
1380009,+c,456687,226404
1380010,-c,226404,456687
1380011,+c,456687,226405
1380012,-c,226405,456687
1380013,+c,456687,226411
1380014,-c,226411,456687
1380015,+c,456687,226409
1380016,-c,226409,456687
1380017,+c,456687,226408
1380018,-c,226408,456687
1380019,+c,456687,226407
1380020,-c,226407,456687
1380021,+c,456687,226430
1380022,-c,226430,456687
1380023,+c,410887,226430
1380024,-c,226430,410887
1380025,+c,456687,226431
1380026,-c,226431,456687
1380027,+c,410887,226431
1380028,-c,226431,410887
1380029,+c,456687,226433
1380030,-c,226433,456687
1380031,+c,456687,226432
1380032,-c,226432,456687
1380033,+c,466662,226432
1380034,-c,226432,466662
1380035,+c,456687,226434
1380036,-c,226434,456687
1380037,+c,466699,226434
1380038,-c,226434,466699
1380039,+c,456687,226428
1380040,-c,226428,456687
1380041,+c,466594,226428
1380042,-c,226428,466594
1380043,+c,456687,226429
1380044,-c,226429,456687
1380045,+c,456687,226399
1380046,-c,226399,456687
1380047,+c,456687,226400
1380048,-c,226400,456687
1380049,+c,456687,226403
1380050,-c,226403,456687
1380051,+c,460291,226403
1380052,-c,226403,460291
1380053,+c,456687,226401
1380054,-c,226401,456687
1380055,+c,456687,226402
1380056,-c,226402,456687
1380057,+c,289660,226402
1380058,-c,226402,289660
1380059,+c,456687,226417
1380060,-c,226417,456687
1380061,+c,456687,226426
1380062,-c,226426,456687
1380063,+c,405308,226426
1380064,-c,226426,405308
1380065,+c,456687,226421
1380066,-c,226421,456687
1380067,+c,456687,226422
1380068,-c,226422,456687
1380069,+c,456687,226423
1380070,-c,226423,456687
1380071,+c,456687,226427
1380072,-c,226427,456687
1380073,+c,407487,226427
1380074,-c,226427,407487
1380075,+c,456687,226419
1380076,-c,226419,456687
1380077,+c,456687,226418
1380078,-c,226418,456687
1380079,+c,456687,226420
1380080,-c,226420,456687
1380081,+c,391827,226420
1380082,-c,226420,391827
1380083,+c,456687,226424
1380084,-c,226424,456687
1380085,+c,456687,226425
1380086,-c,226425,456687
1380087,+c,401964,226425
1380088,-c,226425,401964
1380089,+c,456689,226441
1380090,-c,226441,456689
1380091,+c,456689,226439
1380092,-c,226439,456689
1380093,+c,456689,226439
1380094,-c,226439,456689
1380097,+c,456690,226443
1380098,-c,226443,456690
1380099,+c,456690,226444
1380100,-c,226444,456690
1380101,+c,456690,226449
1380102,-c,226449,456690
1380103,+c,456690,226450
1380104,-c,226450,456690
1380105,+c,456690,226448
1380106,-c,226448,456690
1380107,+c,456690,226451
1380108,-c,226451,456690
1380109,+c,284630,226451
1380110,-c,226451,284630
1380111,+c,456690,226452
1380112,-c,226452,456690
1380113,+c,456690,226445
1380114,-c,226445,456690
1380115,+c,456690,226446
1380116,-c,226446,456690
1380117,+c,278404,226446
1380118,-c,226446,278404
1380119,+c,456690,226447
