c,430246,467785
1452529,+c,467785,430245
1452530,-c,430245,467785
1452531,+c,467785,430247
1452532,-c,430247,467785
1452533,+c,467785,430252
1452534,-c,430252,467785
1452535,+c,467785,430253
1452536,-c,430253,467785
1452537,+c,467785,430254
1452538,-c,430254,467785
1452539,+c,407487,430254
1452540,-c,430254,407487
1452541,+c,467785,430250
1452542,-c,430250,467785
1452543,+c,467785,430249
1452544,-c,430249,467785
1452545,+c,407487,430249
1452546,-c,430249,407487
1452547,+c,467785,430248
1452548,-c,430248,467785
1452549,+c,467785,430251
1452550,-c,430251,467785
1452551,+c,467785,430255
1452552,-c,430255,467785
1452553,+c,467785,430256
1452554,-c,430256,467785
1452555,+c,467785,430257
1452556,-c,430257,467785
1452557,+c,467785,430261
1452558,-c,430261,467785
1452559,+c,467785,430258
1452560,-c,430258,467785
1452561,+c,467785,430259
1452562,-c,430259,467785
1452563,+c,467785,430260
1452564,-c,430260,467785
1452565,+c,467785,430244
1452566,-c,430244,467785
1452567,+c,467785,430242
1452568,-c,430242,467785
1452571,+c,467785,430243
1452572,-c,430243,467785
1452573,+c,467785,430230
1452574,-c,430230,467785
1452575,+c,456933,430230
1452576,-c,430230,456933
1452577,+c,467785,430233
1452578,-c,430233,467785
1452579,+c,456933,430233
1452580,-c,430233,456933
1452581,+c,467785,430231
1452582,-c,430231,467785
1452583,+c,456933,430231
1452584,-c,430231,456933
1452585,+c,467785,430232
1452586,-c,430232,467785
1452587,+c,456933,430232
1452588,-c,430232,456933
1452589,+c,233204,430232
1452590,-c,430232,233204
1452591,+c,467785,430234
1452592,-c,430234,467785
1452593,+c,467785,430235
1452594,-c,430235,467785
1452595,+c,456958,430235
1452596,-c,430235,456958
1452597,+c,467785,430236
1452598,-c,430236,467785
1452599,+c,232034,430236
1452600,-c,430236,232034
1452601,+c,467785,430237
1452602,-c,430237,467785
1452603,+c,232034,430237
1452604,-c,430237,232034
1452605,+c,467785,430240
1452606,-c,430240,467785
1452607,+c,232034,430240
1452608,-c,430240,232034
1452609,+c,467785,430238
1452610,-c,430238,467785
1452611,+c,232034,430238
1452612,-c,430238,232034
1452613,+c,463775,430238
1452614,-c,430238,463775
1452615,+c,467785,430239
1452616,-c,430239,467785
1452617,+c,232034,430239
1452618,-c,430239,232034
1452619,+c,463775,430239
1452620,-c,430239,463775
1452621,+c,467785,430226
1452622,-c,430226,467785
1452623,+c,230771,430226
1452624,-c,430226,230771
1452625,+c,467785,430227
1452626,-c,430227,467785
1452627,+c,230771,430227
1452628,-c,430227,230771
1452629,+c,467785,430229
1452630,-c,430229,467785
1452633,+c,467785,430345
1452634,-c,430345,467785
1452635,+c,466594,430345
1452636,-c,430345,466594
1452637,+c,467785,430344
1452638,-c,430344,467785
1452639,+c,467785,430302
1452640,-c,430302,467785
1452641,+c,467785,430301
1452642,-c,430301,467785
1452643,+c,339572,430301
1452644,-c,430301,339572
1452645,+c,467785,430293
1452646,-c,430293,467785
1452647,+c,467785,430294
1452648,-c,430294,467785
1452649,+c,467785,430296
1452650,-c,430296,467785
1452651,+c,467785,430295
1452652,-c,430295,467785
1452653,+c,467785,430297
1452654,-c,430297,467785
1452655,+c,467785,430298
1452656,-c,430298,467785
1452657,+c,467785,430299
1452658,-c,430299,467785
1452659,+c,467785,430300
1452660,-c,430300,467785
1452661,+c,467785,430304
1452662,-c,430304,467785
1452663,+c,342326,430304
1452664,-c,430304,342326
1452665,+c,237212,430304
1452666,-c,430304,237212
1452667,+c,467785,430305
1452668,-c,430305,467785
1452669,+c,467785,430303
1452670,-c,430303,467785
1452671,+c,467785,467792
1452672,-c,467792,467785
1452673,+c,467785,430313
1452674,-c,430313,467785
1452675,+c,467785,430312
1452676,-c,430312,467785
1452677,+c,467785,430315
1452678,-c,430315,467785
1452679,+c,467785,430314
1452680,-c,430314,467785
1452681,+c,467785,430311
1452682,-c,430311,467785
1452683,+c,467785,430316
1452684,-c,430316,467785
1452685,+c,467785,430317
1452686,-c,430317,467785
1452687,+c,467785,430318
1452688,-c,430318,467785
1452689,+c,467785,430319
1452690,-c,430319,467785
1452691,+c,467785,430320
1452692,-c,430320,467785
1452693,+c,389459,430320
1452694,-c,430320,389459
1452695,+c,467785,467795
1452696,-c,467795,467785
1452697,+c,467785,430321
1452698,-c,430321,467785
1452699,+c,460347,430321
1452700,-c,430321,460347
1452701,+c,467785,430342
1452702,-c,430342,467785
1452703,+c,467785,430331
1452704,-c,430331,467785
1452705,+c,467785,430332
1452706,-c,430332,467785
1452707,+c,467785,430333
1452708,-c,430333,467785
1452709,+c,466041,430333
1452710,-c,430333,466041
1452711,+c,467785,430334
1452712,-c,430334,467785
1452713,+c,467785,467793
1452714,-c,467793,467785
1452715,+c,466042,467793
1452716,-c,467793,466042
1452717,+c,467785,430335
1452718,-c,430335,467785
1452719,+c,467785,430336
1452720,-c,430336,467785
1452721,+c,400331,430336
1452722,-c,430336,400331
1452723,+c,467785,430340
1452724,-c,430340,467785
1452725,+c,467785,430329
1452726,-c,430329,467785
1452727,+c,467785,430326
1452728,-c,430326,467785
1452729,+c,467785,430327
1452730,-c,430327,467785
1452731,+c,467785,430328
1452732,-c,430328,467785
1452733,+c,372231,430328
1452734,-c,430328,372231
1452735,+c,466594,430324
1452736,-c,430324,466594
1452737,+c,467785,430325
1452738,-c,430325,467785
1452739,+c,467785,430330
1452740,-c,430330,467785
1452741,+c,467785,430341
1452742,-c,430341,467785
1452743,+c,400890,430341
1452744,-c,430341,400890
1452745,+c,467785,430343
1452746,-c,430343,467785
1452747,+c,467797,430420
1452748,-c,430420,467797
1452749,+c,467797,430421
1452750,-c,430421,467797
1452751,+c,467797,430422
1452752,-c,430422,467797
1452753,+c,461116,430424
1452754,-c,430424,461116
1452755,+c,328947,430425
1452756,-c,430425,328947
1452757,+c,467797,430431
1452758,-c,430431,467797
1452759,+c,467797,430428
1452760,-c,430428,467797
1452761,+c,467797,430429
1452762,-c,430429,467797
1452763,+c,467797,430430
1452764,-c,430430,467797
1452765,+c,467797,430426
1452766,-c,430426,467797
1452767,+c,467797,430427
1452768,-c,430427,467797
1452769,+c,467797,430372
1452770,-c,430372,467797
1452771,+c,460504,430372
1452772,-c,430372,460504
1452773,+c,467797,430373
1452774,-c,430373,467797
1452775,+c,467797,430396
1452776,-c,430396,467797
1452777,+c,467797,430388
1452778,-c,430388,467797
1452779,+c,467797,430395
1452780,-c,430395,467797
1452781,+c,467797,430394
1452782,-c,430394,467797
1452783,+c,467797,430389
1452784,-c,430389,467797
1452785,+c,467797,430393
1452786,-c,430393,467797
1452787,+c,467797,430390
1452788,-c,430390,467797
1452789,+c,301476,430392
1452790,-c,430392,301476
1452791,+c,301476,430391
1452792,-c,430391,301476
1452793,+c,467797,430377
1452794,-c,430377,467797
1452795,+c,467797,430375
1452796,-c,430375,467797
1452801,+c,467797,430384
1452802,-c,430384,467797
