id,lemma,synset,period,genre,notes
57371,389721,211487,,,
57372,239994,211488,,,
57373,240526,211491,,,
57374,301711,211492,,,
57375,424723,211503,,,
57376,424723,211504,,,
57377,424723,211505,,,
57378,424723,211506,,,
57379,424723,211507,,,
57380,228203,211510,,,
57381,497976,211520,,,
57382,297757,211521,,,
57383,297757,211522,,,
57384,270047,211527,,,
57385,481287,211528,,,
57386,270047,211529,,,
57387,367765,211531,,,
57388,259402,211537,,,
57389,290786,211542,,,
57390,273517,211545,,,
57391,284444,211546,,,
57392,284444,211547,,,
57393,275279,211553,,,
57394,497977,211556,,,
57395,301711,211557,,,
57396,301711,211559,,,
57397,301711,211560,,,
57398,252821,211571,,,
57399,302679,211574,,,
57400,346254,211578,,,
57401,253076,211582,,,
57402,358763,211583,,,
57403,358763,211584,,,
57404,358763,211586,,,
57405,358763,211587,,,
57406,293884,211589,,,
57407,293884,211591,,,
57408,211549,211595,,,
57409,497978,211601,,,
57410,237197,211602,,,
57411,236941,211603,,,
57412,389787,211607,,,
57413,274807,211608,,,
57414,300661,211610,,,
57415,300661,211611,,,
57416,300661,211612,,,
57417,247945,211613,,,
57418,300661,211614,,,
57419,300661,211615,,,
57420,300661,211616,,,
57421,408445,211618,,,
57422,300661,211619,,,
57423,239994,211621,,,
57424,262071,211623,,,
57425,262071,211624,,,
57426,262066,211625,,,
57427,240010,211631,,,
57428,240010,211632,,,
57429,240010,211633,,,
57430,240010,211634,,,
57431,240010,211635,,,
57432,240010,211636,,,
57433,240010,211637,,,
57434,480346,211641,,,
57435,237605,211646,,,
57436,497979,211648,,,
57437,290180,211649,,,
57438,497980,211652,,,
57439,293120,211655,,,
57440,408445,211658,,,
57441,298892,211659,,,
57442,342123,211660,,,
57443,251257,211661,,,
57444,497981,211662,,,
57445,388883,211664,,,
57446,388883,211665,,,
57447,388883,211666,,,
57448,248239,211667,,,
57449,248239,211668,,,
57450,265838,211670,,,
57451,388537,211672,,,
57452,388537,211673,,,
57453,321433,211675,,,
57454,321445,211676,,,
57455,481729,211686,,,
57456,296146,211687,,,
57457,296146,211688,,,
57458,296146,211689,,,
57459,287767,211695,,,
57460,287767,211696,,,
57461,287767,211697,,,
57462,287767,211698,,,
57463,480351,211700,,,
57464,244665,211702,,,
57465,244665,211703,,,
57466,243446,211704,,,
57467,481069,211714,,,
57468,238434,211716,,,
57469,238434,211717,,,
57470,238434,211718,,,
57471,238434,211719,,,
57472,282616,211720,,,
57473,291325,211722,,,
57474,379107,211733,,,
57475,379107,211734,,,
57476,379107,211735,,,
57477,379107,211736,,,
57478,271953,211737,,,
57479,271953,211738,,,
57480,271953,211739,,,
57481,271953,211740,,,
57482,271953,211741,,,
57483,271953,211742,,,
57484,271953,211743,,,
57485,271953,211744,,,
57486,294615,211753,,,
57487,294615,211754,,,
57488,294615,211755,,,
57489,294615,211756,,,
57490,382632,211757,,,
57491,294268,211777,,,
57492,294268,211778,,,
57493,294268,211779,,,
57494,294268,211780,,,
57495,294268,211781,,,
57496,294268,211782,,,
57497,294268,211783,,,
57498,337347,211787,,,
57499,337347,211788,,,
57500,287088,211789,,,
57501,287088,211790,,,
57502,247840,211794,,,
57503,321377,211795,,,
57504,271836,211796,,,
57505,495983,211800,,,
57506,375259,211806,,,
57507,375259,211807,,,
57508,394004,211819,,,
57509,394004,211820,,,
57510,232152,211832,,,
57511,408092,211841,,,
57512,408092,211842,,,
57513,231052,211843,,,
57514,259109,211855,,,
57515,256609,211856,,,
57516,233130,211859,,,
57517,233130,211860,,,
57518,233130,211861,,,
57519,233130,211862,,,
57520,233130,211863,,,
57521,233130,211864,,,
57522,233130,211865,,,
57523,233130,211866,,,
57524,233130,211867,,,
57525,233130,211868,,,
57526,233130,211869,,,
57527,266747,211870,,,
57528,233130,211871,,,
57529,233164,211872,,,
57530,233130,211873,,,
57531,497981,211874,,,
57532,400610,211900,,,
57533,265144,211908,,,
57534,265144,211909,,,
57535,265144,211910,,,
57536,331745,211915,,,
57537,251908,211917,,,
57538,217921,211918,,,
57539,330010,211919,,,
57540,330010,211920,,,
57541,408092,211921,,,
57542,415330,211925,,,
57543,389434,211926,,,
57544,389434,211927,,,
57545,339169,211929,,,
57546,339169,211930,,,
57547,339169,211931,,,
57548,339169,211932,,,
57549,339169,211933,,,
57550,336622,211934,,,
57551,227464,211955,,,
57552,400929,211962,,,
57553,271414,211965,,,
57554,419777,211968,,,
57555,419777,211969,,,
57556,275620,211970,,,
57557,391651,211971,,,
57558,314618,211977,,,
57559,311935,211986,,,
57560,311935,211987,,,
57561,309641,211989,,,
57562,368935,211990,,,
57563,359596,211992,,,
57564,402076,211994,,,
57565,307674,211999,,,
57566,496066,212000,,,
57567,496066,212001,,,
57568,496066,212002,,,
57569,298911,212017,,,
57570,298911,212018,,,
57571,422384,212022,,,
57572,263753,212026,,,
57573,309375,212027,,,
57574,349279,212028,,,
57575,349279,212029,,,
57576,349279,212030,,,
57577,349279,212031,,,
57578,349279,212032,,,
57579,324147,212050,,,
57580,423404,212051,,,
57581,423404,212052,,,
57582,324147,212053,,,
57583,324147,212054,,,
57584,324147,212055,,,
57585,324147,212056,,,
57586,324147,212057,,,
57587,324147,212058,,,
57588,324147,212059,,,
57589,243572,212060,,,
57590,227328,212062,,,
57591,227328,212063,,,
57592,227328,212064,,,
57593,227328,212065,,,
57594,227328,212066,,,
57595,227328,212067,,,
57596,379452,212068,,,
57597,407993,212069,,,
57598,278236,212070,,,
57599,497982,212071,,,
57600,278236,212072,,,
57601,278236,212073,,,
57602,278236,212074,,,
57603,278236,212075,,,
57604,294372,212076,,,
57605,428911,212109,,,
57606,428911,212110,,,
57607,209554,212111,,,
57608,209554,212113,,,
57609,390902,212116,,,
57610,408383,212119,,,
57611,421801,212123,,,
57612,393910,212128,,,
57613,393910,212129,,,
57614,302435,212132,,,
57615,293804,212133,,,
57616,293804,212134,,,
57617,497983,212135,,,
57618,376537,212139,,,
57619,209100,212140,,,
57620,267162,212142,,,
57621,269572,212143,,,
57622,250798,212144,,,
57623,250798,212145,,,
57624,253789,212147,,,
57625,270481,212148,,,
57626,276046,212149,,,
57627,254479,212150,,,
57628,256309,212151,,,
57629,338831,212156,,,
57630,209937,212158,,,
57631,279562,212179,,,
57632,385846,212186,,,
57633,214952,212191,,,
57634,426125,212194,,,
57635,426125,212195,,,
57636,426125,212196,,,
57637,426125,212197,,,
57638,299680,212198,,,
57639,299680,212199,,,
57640,299680,212200,,,
57641,299680,212201,,,
57642,299680,212202,,,
57643,299680,212203,,,
57644,423144,212204,,,
57645,336426,212210,,,
57646,430173,212211,,,
57647,291590,212213,,,
57648,419608,212219,,,
57649,267609,212221,,,
57650,267609,212222,,,
57651,267609,212223,,,
57652,267609,212224,,,
57653,260772,212229,,,
57654,402773,212230,,,
57655,402773,212231,,,
57656,402773,212232,,,
57657,429075,212238,,,
57658,286741,212239,,,
57659,286741,212240,,,
57660,286741,212241,,,
57661,304517,212245,,,
57662,290920,212246,,,
57663,290920,212247,,,
57664,290920,212248,,,
57665,421454,212250,,,
57666,276297,212252,,,
57667,358459,212253,,,
57668,358459,212254,,,
57669,358459,212255,,,
57670,358459,212256,,,
57671,358459,212257,,,
57672,358459,212258,,,
57673,356780,212260,,,
57674,255119,212261,,,
57675,372441,212263,,,
57676,269305,212264,,,
57677,213350,212267,,,
57678,241138,212268,,,
57679,273397,212269,,,
57680,394130,212270,,,
57681,383030,212271,,,
57682,497984,212272,,,
57683,275900,212273,,,
57684,349819,212274,,,
57685,213905,212276,,,
57686,338914,212291,,,
57687,419659,212292,,,
57688,222664,212297,,,
57689,483380,212298,,,
57690,225311,212299,,,
57691,225311,212300,,,
57692,225311,212301,,,
57693,371969,212307,,,
57694,371969,212308,,,
57695,371969,212310,,,
57696,371969,212311,,,
57697,371969,212312,,,
57698,371969,212313,,,
57699,371969,212314,,,
57700,371969,212315,,,
57701,371969,212316,,,
57702,371969,212317,,,
57703,408664,212318,,,
57704,371969,212320,,,
57705,371969,212321,,,
57706,244175,212323,,,
57707,233791,212331,,,
57708,379452,212332,,,
57709,379452,212333,,,
57710,313515,212338,,,
57711,313515,212339,,,
57712,313515,212340,,,
