,229493,,,
89373,312398,166326,,,
89374,312398,229895,,,
89375,312398,156945,,,
89376,312398,229493,,,
89377,300369,159845,,,
89378,211586,214084,,,
89379,211586,157761,,,
89380,300582,212220,,,
89381,305401,155877,,,
89382,338532,183609,,,
89383,338532,229013,,,
89384,227644,230014,,,
89385,227644,214083,,,
89386,293390,214469,,,
89387,251667,212625,,,
89388,251667,214245,,,
89389,336426,156125,,,
89390,336426,214676,,,
89391,336426,212675,,,
89392,313087,155302,,,
89393,267196,155302,,,
89394,262490,213736,,,
89395,273219,212543,,,
89396,273222,212543,,,
89397,382067,158714,,,
89398,382067,229725,,,
89399,382067,229435,,,
89400,382067,228922,,,
89401,277293,158714,,,
89402,277293,147941,,,
89403,277293,148518,,,
89404,246967,158714,,,
89405,246967,147724,,,
89406,246967,147941,,,
89407,246967,148518,,,
89408,246970,181821,,,
89409,246970,188349,,,
89410,246966,228664,,,
89411,245450,158714,,,
89412,245450,224020,,,
89413,245450,166278,,,
89414,271538,158714,,,
89415,301619,158714,,,
89416,301619,212716,,,
89417,301619,232664,,,
89418,320634,157787,,,
89419,280971,158519,,,
89420,336195,212286,,,
89421,218939,229816,,,
89422,390676,212296,,,
89423,390677,216009,,,
89424,390677,229944,,,
89425,395476,212294,,,
89426,210963,225745,,,
89427,210963,212294,,,
89428,210963,164761,,,
89429,234885,212296,,,
89430,388796,159709,,,
89431,388796,229793,,,
89432,407194,225720,,,
89433,407159,225720,,,
89434,269728,214117,,,
89435,390934,214117,,,
89436,239096,214117,,,
89437,374300,214117,,,
89438,360399,214117,,,
89439,290795,214117,,,
89440,302662,214523,,,
89441,302662,156702,,,
89442,290898,214523,,,
89443,290898,213003,,,
89444,298994,214523,,,
89445,375519,214523,,,
89446,361234,214523,,,
89447,336202,214084,,,
89448,362090,214084,,,
89449,330352,214084,,,
89450,275201,213698,,,
89451,275376,223963,,,
89452,415289,214584,,,
89453,274864,214584,,,
89454,331294,214584,,,
89455,478211,214584,,,
89456,428425,214584,,,
89457,271886,214584,,,
89458,247975,229993,,,
89459,418148,229993,,,
89460,327487,229993,,,
89461,366788,229993,,,
89462,340769,229993,,,
89463,302766,229993,,,
89464,217917,213573,,,
89465,417202,213573,,,
89466,296846,213573,,,
89467,296846,229072,,,
89468,277461,213573,,,
89469,276226,213573,,,
89470,262547,214457,,,
89471,231529,214457,,,
89472,234591,214457,,,
89473,225710,214457,,,
89474,227687,187185,,,
89475,296939,157551,,,
89476,296939,228292,,,
89477,395175,157551,,,
89478,268292,157551,,,
89479,281670,157551,,,
89480,297609,157551,,,
89481,229731,157551,,,
89482,229724,157551,,,
89483,410330,157551,,,
89484,478212,156734,,,
89485,244682,212218,,,
89486,270073,212218,,,
89487,348846,212344,,,
89488,348846,155289,,,
89489,348846,142532,,,
89490,478213,212218,,,
89491,337879,214466,,,
89492,337580,214466,,,
89493,239868,214466,,,
89494,239868,214732,,,
89495,278593,214466,,,
89496,359234,214466,,,
89497,246625,214063,,,
89498,306315,214063,,,
89499,402844,214063,,,
89500,402844,112953,,,
89501,274913,214063,,,
89502,279506,158680,,,
89503,286697,214063,,,
89504,478214,214063,,,
89505,281986,157551,,,
89506,340463,156945,,,
89507,378032,156134,,,
89508,378032,156945,,,
89509,247796,214411,,,
89510,478215,156945,,,
89511,222739,212404,,,
89512,360346,212404,,,
89513,285400,212404,,,
89514,404159,212404,,,
89515,337416,212404,,,
89516,382793,159845,,,
89517,386387,159845,,,
89518,386387,145686,,,
89519,386387,145732,,,
89520,385728,159845,,,
89521,419873,159845,,,
89522,277735,159845,,,
89523,465512,212121,,,
89524,238225,214614,,,
89525,238224,214614,,,
89526,281267,213985,,,
89527,285361,213985,,,
89528,314114,166510,,,
89529,314114,214454,,,
89530,314114,157142,,,
89531,425379,214454,,,
89532,425379,214455,,,
89533,257629,214454,,,
89534,257628,185266,,,
89535,257661,214454,,,
89536,257661,214455,,,
89537,400831,214533,,,
89538,327041,214533,,,
89539,327041,214534,,,
89540,221373,214533,,,
89541,221373,214534,,,
89542,383764,214533,,,
89543,219322,157551,,,
89544,219322,229588,,,
89545,291772,139671,,,
89546,291772,156484,,,
89547,291772,139670,,,
89548,291772,145714,,,
89549,419237,212216,,,
89550,207241,212216,,,
89551,207244,183002,,,
89552,311659,212216,,,
89553,251597,214676,,,
89554,251597,225726,,,
89555,313170,214676,,,
89556,251529,214676,,,
89557,316774,214676,,,
89558,385975,153397,,,
89559,381613,212226,,,
89560,430276,212214,,,
89561,226078,177535,,,
89562,359344,145714,,,
89563,405244,120490,,,
89564,257257,212302,,,
89565,400999,212302,,,
89566,216886,212302,,,
89567,216886,163057,,,
89568,216886,212225,,,
89569,265035,214454,,,
89570,277678,214454,,,
89571,265056,214454,,,
89572,265056,155082,,,
89573,286746,122975,,,
89574,286746,113093,,,
89575,286746,155082,,,
89576,286746,120854,,,
89577,426695,158850,,,
89578,428256,158850,,,
89579,428259,211508,,,
89580,238943,158850,,,
89581,290913,158850,,,
89582,290913,153853,,,
89583,298278,158850,,,
89584,298651,158850,,,
89585,359961,229551,,,
89586,359965,230451,,,
89587,259446,229551,,,
89588,346983,229551,,,
89589,392178,213919,,,
89590,239939,213919,,,
89591,375446,139608,,,
89592,375446,155202,,,
89593,284471,213919,,,
89594,302928,159820,,,
89595,302928,159823,,,
89596,258085,229069,,,
89597,377302,213012,,,
89598,377293,213012,,,
89599,377290,193985,,,
89600,277597,156930,,,
89601,290182,215667,,,
89602,427241,215667,,,
89603,376227,215667,,,
89604,276356,153613,,,
89605,282839,153613,,,
89606,282839,158850,,,
89607,252127,157787,,,
89608,252127,230951,,,
89609,252125,227985,,,
89610,289025,153613,,,
89611,339049,156110,,,
89612,225485,156110,,,
89613,281307,214777,,,
89614,405034,158680,,,
89615,263667,158680,,,
89616,229737,158680,,,
89617,249748,158680,,,
89618,249748,214099,,,
89619,363772,229493,,,
89620,225487,212318,,,
89621,282966,155289,,,
89622,260126,215662,,,
89623,267957,215662,,,
89624,256808,166595,,,
89625,256808,229071,,,
89626,336297,183627,,,
89627,336303,156405,,,
89628,336303,166258,,,
