id,offset,pos,language,gloss,semfield
103290,00001740,n,10,anything having existence (living or nonliving),
103291,00002086,n,10,any living entity,2158
103292,00002880,n,10,"living things collectively: ""the oceans are teeming with life""",2158
103293,00003011,n,10,a discrete unit of living matter,2158
103294,00003095,n,10,the basic structural and functional unit of all organisms; cells may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals,2158
103295,00003731,n,10,any entity that causes events to happen,
103296,00004123,n,10,"a human being: ""there was too much for one person to do""","2158,2516"
103297,00008019,n,10,a living organism characterized by voluntary movement,"2158,2188"
103298,00008864,n,10,a living organism lacking the power of locomotion,"2158,2172"
103299,00009457,n,10,"a physical (tangible and visible) entity: ""it was full of rackets, balls and other objects""",
103300,00010123,n,10,an object occurring naturally; not made by man,
103301,00010572,n,10,"that which has mass and occupies space: ""an atom is the smallest indivisible unit of matter""",2097
103302,00011575,n,10,any substance that can be metabolized by an organism to give energy and build tissue,2354
103303,00011937,n,10,a man-made object,
103304,00012704,n,10,"one of a class of artifacts: ""an article of clothing""",
103305,00012865,n,10,a feature of the mental life of a living organism,1502
103306,00013018,n,10,a general concept formed by extracting common features from specific examples,
103307,00013243,n,10,the psychological result of perception and learning and reasoning,
103308,00013700,n,10,"the psychological feature that arouses an organism to action; the reason for the action: ""we did not understand his motivation""; ""he acted with the best of motives""",
103309,00014045,n,10,"the psychological feature of experiencing affective and emotional states: ""he had a feeling of euphoria""",1502
103310,00014887,n,10,a point or extent in space,
103311,00015185,n,10,"the spatial arrangement of something as distinct from its substance: ""geometry is the mathematical science of shape""",
103312,00015594,n,10,the continuum of experience in which events pass from the future through the present to the past,1463
103313,00015975,n,10,"the unlimited 3-dimensional expanse in which everything is located; ""they tested his ability to locate objects in space""",
103314,00016185,n,10,"the way something is with respect to its main attributes: ""the current state of knowledge""; ""his state of health""; ""in a weak financial state""",
103315,00017297,n,10,something that happens at a given place and time,
103316,00017487,n,10,something that people do or cause to happen,
103317,00017954,n,10,any number of entities (members) considered as a unit,
103318,00018376,n,10,anything owned or possessed,
103319,00018604,n,10,an abstraction belonging to or characteristic of an entity,
103320,00018916,n,10,an abstraction belonging to or characteristic of two entities or parts together,
103321,00019464,n,10,a relation between living organisms; esp between people,1675
103322,00019671,n,10,something that is communicated between people or groups,"1935,1969"
103323,00020056,n,10,how much there is of something that you can measure,1951
103324,00020461,n,10,any state or process known through the senses rather than by intuition or reasoning,
103325,00020709,n,10,"an action: ""how could you do such a thing?""",
103326,00020804,n,10,a kind act,
103327,00020977,n,10,the act of accomplishing something,
103328,00021392,n,10,"a notable achievement: ""the book was her finest effort""",
103329,00021866,n,10,an outstanding achievement,
103330,00021950,n,10,an achievement demonstrating great skill or mastery,
103331,00022060,n,10,"used in the phrase ""to your credit"" to indicate an achievement deserving praise; ""she already had several performances to her credit""",
103332,00022246,n,10,"something done (usually as opposed to something said); ""there were stories of murders and other unnatural actions""",
103333,00022737,n,10,"a mode of action: ""if you persist in that course you will surely fail""",
103334,00022878,n,10,a mutual or reciprocal action; interacting,
103335,00023032,n,10,reciprocal action and reaction,
103336,00023118,n,10,"close interaction: ""they kept in daily contact""; ""they claimed that they had been in contact with extraterrestrial beings""",
103337,00023330,n,10,"contact that occurs when two people look directly at each other: ""a teacher should make eye contact with the students""",
103338,00023506,n,10,"contact established between applicants and prospective employees: ""the agency provided placement services""",
103339,00023668,n,10,mutual interaction; the activity of interchanging or reciprocating,
103340,00023860,n,10,mutual exchange of commercial or other privileges,
103341,00023967,n,10,"social or verbal interchange (usually followed by ""with"")",
103342,00024107,n,10,"(usually plural) mutual dealings or connections among persons or groups: ""international relations""",
103343,00024260,n,10,taking part in a game or sport or other recreation,2638
103344,00024436,n,10,the act using a sword (or other weapon) vigorously and skillfully,2642
103345,00024570,n,10,the playing of a game of tenpins or duckpins etc,2631
103346,00024710,n,10,brave and heroic deeds,
103347,00024789,n,10,a masterly or brilliant feat,
